id,site,visit,point,length,roundness,L,a,b
S1U47,Sampiruhan,September,1,781.146,0.611811255,77.6570852,-9.220602432,19.63616264
S4U339,Sampiruhan,September,4,1544.374,0.610656437,42.10644103,-9.373317323,20.18565018
S1U40,Sampiruhan,September,1,2249.506,0.610230485,41.66245562,-7.862422023,26.02082023
S5U65,Sampiruhan,September,5,1536.001,0.610073708,34.30957538,0.773874277,32.00549842
S4U386,Sampiruhan,September,4,1153.596,0.609611095,37.77195436,-7.081222413,33.63402861
S5U151,Sampiruhan,September,5,832.528,0.609014788,21.83741076,14.88064793,-42.91413565
S5U73,Sampiruhan,September,5,2245.021,0.608698065,59.94003486,-12.46037502,43.80746345
S4U318,Sampiruhan,September,4,1202.512,0.608588309,39.75246183,-17.68189088,14.9643293
S4U286,Sampiruhan,September,4,1586.16,0.60607714,36.58356465,4.73473513,40.59345388
S5U95,Sampiruhan,September,5,1619.353,0.604944497,80.79959508,-7.901107005,19.3025713
S5U291,Sampiruhan,September,5,3503.829,0.604836711,93.32514625,0.599956961,8.442638359
S4U89,Sampiruhan,September,4,2592.705,0.604768555,78.45963888,-18.32001733,19.49501111
S2U32,Sampiruhan,September,2,1069.132,0.601561889,61.59909867,-18.30514906,-12.56639131
S4U113,Sampiruhan,September,4,869.525,0.598112142,44.12904241,-12.14998186,4.323565126
S4U215,Sampiruhan,September,4,1641.702,0.595896866,70.93000002,-12.36453842,6.01256458
S5U40,Sampiruhan,September,5,4309.271,0.593205829,90.86465305,-4.426179591,8.410591052
S5U164,Sampiruhan,September,5,2046.912,0.593081181,40.17657828,0.661320412,-40.0529062
S5U78,Sampiruhan,September,5,788.482,0.59284057,64.29631425,-3.218306363,32.70443659
S4U101,Sampiruhan,September,4,1903.195,0.592581614,81.3326439,-16.32498294,2.670065823
S4U27,Sampiruhan,September,4,4499.087,0.592484607,84.42208996,-4.361086113,4.770658722
S1U29,Sampiruhan,September,1,1725.679,0.591190136,57.00653896,-21.21585675,-10.97257421
S4U169,Sampiruhan,September,4,2167.4,0.591161554,81.60080864,-8.098074253,25.76039327
S4U272,Sampiruhan,September,4,680.185,0.59075736,43.98541791,-15.63242516,33.53506398
S5U3,Sampiruhan,September,5,4503.761,0.590187115,83.54671415,-5.735745012,9.901051361
S4U327,Sampiruhan,September,4,1070.668,0.589671924,39.8912571,-6.686518126,30.48057723
S5U26,Sampiruhan,September,5,3678.77,0.589320656,88.16807367,-5.339844206,6.542654463
S5U90,Sampiruhan,September,5,729.871,0.587847059,40.97514289,-19.15088617,6.313022819
S5U102,Sampiruhan,September,5,1295.597,0.587177256,38.70420126,-1.898187605,24.09442926
S4U345,Sampiruhan,September,4,1594.783,0.586397676,39.61742594,-10.12185895,27.83397419
S4U167,Sampiruhan,September,4,963.472,0.584825642,80.11754128,-11.68459653,22.52600053
S5U135,Sampiruhan,September,5,846.461,0.584353802,65.1556579,-7.778823195,7.148988714
S4U114,Sampiruhan,September,4,2075.739,0.584263405,41.37190552,-17.90069388,17.19150378
S5U197,Sampiruhan,September,5,2542.035,0.582081181,40.85502433,-4.875398176,15.59368955
S4U83,Sampiruhan,September,4,824.858,0.580838303,85.00901069,-25.77931781,22.21943954
S5U282,Sampiruhan,September,5,1820.761,0.579539773,33.36307221,2.478165275,28.32962765
S4U159,Sampiruhan,September,4,557.733,0.578728542,69.96268123,-8.819712506,36.83022848
S4U291,Sampiruhan,September,4,1171.212,0.577834193,62.32977618,-10.89339022,29.31126062
S4U321,Sampiruhan,September,4,1537.847,0.577561899,37.25988597,-15.95766007,20.60100587
S4U359,Sampiruhan,September,4,1789.928,0.577230485,40.49795999,-7.610127329,27.35819832
S4U98,Sampiruhan,September,4,1382.165,0.576438921,83.05224964,-21.59795523,11.01029532
S5U161,Sampiruhan,September,5,2094.318,0.575036736,41.71852101,-7.186520289,20.90078256
S5U279,Sampiruhan,September,5,1045.226,0.573114917,38.91569731,-21.77912699,4.508983995
S5U270,Sampiruhan,September,5,1589.458,0.572776697,38.52831662,-24.87634477,8.216783651
S5U141,Sampiruhan,September,5,879.632,0.571750163,61.53520546,-3.545422667,30.63942209
S4U122,Sampiruhan,September,4,1616.807,0.571487331,72.5966013,-8.871647301,18.4236726
S2U33,Sampiruhan,September,2,1589.142,0.57067791,61.19869393,-7.949512862,44.04493191
S2U20,Sampiruhan,September,2,2735.031,0.567826824,83.89106905,0.52292932,-0.231553471
S5U129,Sampiruhan,September,5,1665.53,0.567613364,44.09919681,-7.165106014,17.04969569
S4U135,Sampiruhan,September,4,1410.261,0.567136495,42.19044391,-8.937359486,20.31124281
S5U199,Sampiruhan,September,5,1166.554,0.564862457,38.52480039,-0.723677362,23.31278929
S4U277,Sampiruhan,September,4,1614.057,0.563669278,57.07662238,-19.51147572,12.87037599
S1U26,Sampiruhan,September,1,992.598,0.563242423,43.96207304,-6.528486398,26.21153474
