"","Tier","Tissue Translocation (Default)","Food Dilution (Default)","Tissue Translocation (5th %)","Tissue Translocation (95th %)","Food Dilution (5th %)","Food Dilution (95th %)","N Species (tissue trans)","N Species (food dilution)","N Groups (tissue trans)","N Groups (food dilution)","N Datapoints (tissue trans)","N Datapoints (food dilution)","label","Environment"
"36","Tier4",5496.11398176807,11.2738740092661,1154.94905598557,27704.9885044784,1.14686274047649,109.02589653525,19,20,7,7,143,150,"risk and tech","Freshwater & Marine"
"37","Tier1",7.05302068736466,0.000710292504287486,NA,NA,NA,NA,26,23,7,7,372,365,"tech only","Freshwater & Marine"
"38","Tier2",87.7635333547066,0.0628928507352726,7.05302068736466,954.620649647808,0.000710292504287486,0.870967590812056,26,23,7,7,372,365,"tech only","Freshwater & Marine"
"39","Tier3",1531.72260101793,1.73165495922859,323.512435342661,8498.15075963247,0.23216320340044,21.7788508884868,19,20,7,7,143,150,"tech only","Freshwater & Marine"
"40","Tier4",5496.11398176807,11.2738740092661,1154.94905598557,27704.9885044784,1.14686274047649,109.02589653525,19,20,7,7,143,150,"tech only","Freshwater & Marine"
"41","Tier1",5.86701493658421,0.000379148873091442,NA,NA,NA,NA,25,24,7,7,374,390,"risk only","Freshwater & Marine"
"42","Tier2",89.2770421743278,0.0168271548362725,5.86701493658421,716.510500807613,0.000379148873091442,0.678135598013643,25,24,7,7,374,390,"risk only","Freshwater & Marine"
"43","Tier3",1517.38802701012,1.71477354843188,316.431862321696,8476.19028599483,0.230212743907671,21.8209007819695,19,20,7,7,146,153,"risk only","Freshwater & Marine"
"44","Tier4",5484.43008118169,11.18262347437,1138.21341300534,27850.9225816679,1.13495466083241,109.948965007355,19,20,7,7,146,153,"risk only","Freshwater & Marine"
"45","Tier1",9.6611104468452,0.00284781850554218,NA,NA,NA,NA,30,30,8,8,429,473,"no quality filters","Freshwater & Marine"
"46","Tier2",93.0363525541608,0.064789981972801,9.6611104468452,353.605453244965,0.00284781850554218,0.484795519793097,30,30,8,8,429,473,"no quality filters","Freshwater & Marine"
"47","Tier3",1517.38802701012,2.07466531265632,316.431862321696,8476.19028599483,0.296691499422229,27.1866405322234,19,21,7,7,146,154,"no quality filters","Freshwater & Marine"
"48","Tier4",5484.43008118169,13.5804653877207,1138.21341300534,27850.9225816679,1.66916711315491,131.957955136207,19,21,7,7,146,154,"no quality filters","Freshwater & Marine"
