Data ID:;D:\mrolf2\ML1\ML1.1_5-20_1-32_3v5\ML 1.1_5-20_1-32_3v5.ilab
Date of Export:;2021-02-06 11:47:04
Classes:;24
Particles on File:;8679

Particle Classes:
;Class;Class Name;Class ID;No. of Particles
;1;PU;PU;76
;2;PET;PET;13
;3;PA;PA;1
;4;PC;PC;10
;5;PMMA;PMMA;5
;6;PVC;PVC;11
;7;PE;PE;34
;8;PP;PP;14
;9;POM;POM;6
;10;ABS;ABS;0
;11;PAN;PAN;0
;12;PS;PS;11
;13;PBT;PBT;1
;14;PPSU;PPSU;0
;15;CA;CA;0
;16;EVAc;EVAc;3
;17;PEEK;PEEK;0
;18;EVOH;EVOH;0
;19;PSU;PSU;1
;20;SILICONE;SI;2
;21;Substrat;Substrate;4
;22;Non-Polymer;Non-Polymer;8483
;23;PLA;PLA;1
;24;PLA-PBAT;PLAPBAT;3

Export Filter Parameters:
;Minimum Size:;1
;Minimum Relevance:;0,00000000000000
;Minimum Aux. Parameter:;0,00000000000000
;Selected Classes:;[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,23,24]
;No. Exported Particles:;192

Particle Properties:
;Particle;Size [px];Area [µm≤];Class Idx;Class Name;XPos [px];YPos [px];Left Edge [px];Right Edge [px];Bottom Edge [px];Top Edge [px];CenterX [px];CenterY [px];PC1LdX;PC1LdY;Length [px];Width [px];Aspect;Direction [∞];Relevance;Similarity;Done;polymere?;Form;Farbe;L‰nge;Breite;Kommentar
;00036;2;244,204999999887;1;PU;381;288;381;381;288;289;382,000000000000;290,000000000000;0,00000000000000;1,00000000000000;2,00000000000000;1,00000000000000;2,00000000000000;90,0000000000000;0,35818666666667;0,21756690900284;;"";"";"";"";"";""
;00037;1;122,102499999944;1;PU;414;634;414;414;634;634;415,000000000000;635,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,40177876517036;0,16600462489491;;"";"";"";"";"";""
;00038;9;1098,92249999949;1;PU;426;593;426;428;592;595;428,000000000000;595,000000000000;-0,34694624773494;0,93788501490462;4,16060129244886;3,22271627754424;1,29102314139155;110,300647322502;0,32193474698564;0,42363876965721;;"";"";"";"";"";""
;00039;1;122,102499999944;1;PU;438;833;438;438;833;833;439,000000000000;834,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,30730639486420;0,22422470948420;;"";"";"";"";"";""
;00040;1;122,102499999944;1;PU;445;814;445;445;814;814;446,000000000000;815,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,41201945174387;0,16765511387334;;"";"";"";"";"";""
;00041;1;122,102499999944;1;PU;502;707;502;502;707;707;503,000000000000;708,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,49114074074074;0,29881555215380;;"";"";"";"";"";""
;00042;1;122,102499999944;1;PU;516;350;516;516;350;350;517,000000000000;351,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,44568952225185;0,00000000000000;;"";"";"";"";"";""
;00043;1;122,102499999944;1;PU;525;663;525;525;663;663;526,000000000000;664,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,34910065567078;0,00000000000000;;"";"";"";"";"";""
;00044;1;122,102499999944;1;PU;526;425;526;526;425;425;527,000000000000;426,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,30316088888889;9,83718037502444E-02;;"";"";"";"";"";""
;00045;1;122,102499999944;1;PU;527;424;527;527;424;424;528,000000000000;425,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,43111398716049;0,13587464852706;;"";"";"";"";"";""
;00046;1;122,102499999944;1;PU;528;172;528;528;172;172;529,000000000000;173,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,37536770089870;0,24933809502622;;"";"";"";"";"";""
;00047;4;488,409999999775;1;PU;571;313;571;573;313;314;573,000000000000;314,000000000000;0,85065080835204;0,52573111211913;3,22703272882325;1,85065080835204;1,74372859226579;31,7174744114610;0,62616234666667;0,54779010811372;;"";"";"";"";"";""
;00048;1;122,102499999944;1;PU;581;834;581;581;834;834;582,000000000000;835,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,37200782222222;0,27073092337883;;"";"";"";"";"";""
;00049;1;122,102499999944;1;PU;583;691;583;583;691;691;584,000000000000;692,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,45378597925926;8,35417338328010E-02;;"";"";"";"";"";""
;00050;1;122,102499999944;1;PU;602;492;602;602;492;492;603,000000000000;493,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,46678442524470;0,30515735919775;;"";"";"";"";"";""
;00051;1;122,102499999944;1;PU;609;405;609;609;405;405;610,000000000000;406,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,40394113580247;0,15198267408760;;"";"";"";"";"";""
;00052;1;122,102499999944;1;PU;623;241;623;623;241;241;624,000000000000;242,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,47111111111111;0,00000000000000;;"";"";"";"";"";""
;00053;27;3296,76749999848;1;PU;637;710;637;643;700;710;641,000000000000;707,000000000000;-0,29904637572827;0,95423857874422;11,4395249146270;5,95604036633051;1,92065939970700;107,400335250644;0,63696086913580;0,38119426419050;;"";"";"";"";"";""
;00054;1;122,102499999944;1;PU;638;193;638;638;193;193;639,000000000000;194,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,33015466666667;0,16345590038595;;"";"";"";"";"";""
;00055;1;122,102499999944;1;PU;640;710;640;640;710;710;641,000000000000;711,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,73955555555556;0,11398718920495;;"";"";"";"";"";""
;00056;1;122,102499999944;1;PU;643;810;643;643;810;810;644,000000000000;811,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,45553303703704;0,17764550150149;;"";"";"";"";"";""
;00057;2;244,204999999887;1;PU;649;703;649;650;703;703;650,000000000000;704,000000000000;1,00000000000000;0,00000000000000;2,00000000000000;1,00000000000000;2,00000000000000;0,00000000000000;0,28288504894648;0,11270815393389;;"";"";"";"";"";""
;00058;1;122,102499999944;1;PU;654;703;654;654;703;703;655,000000000000;704,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,40340622222222;6,95471924271617E-02;;"";"";"";"";"";""
;00059;1;122,102499999944;1;PU;654;711;654;654;711;711;655,000000000000;712,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,49312102020741;0,23859588560824;;"";"";"";"";"";""
;00060;1;122,102499999944;1;PU;654;713;654;654;713;713;655,000000000000;714,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,60009867070156;9,62718610613036E-02;;"";"";"";"";"";""
;00061;1;122,102499999944;1;PU;657;720;657;657;720;720;658,000000000000;721,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,36837532389033;0,37738975167147;;"";"";"";"";"";""
;00062;1;122,102499999944;1;PU;659;72;659;659;72;72;660,000000000000;73,0000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,37480115323535;0,31328034818686;;"";"";"";"";"";""
;00063;2;244,204999999887;1;PU;665;648;665;666;648;648;666,000000000000;649,000000000000;1,00000000000000;0,00000000000000;2,00000000000000;1,00000000000000;2,00000000000000;0,00000000000000;0,36309333333333;0,16207693636441;;"";"";"";"";"";""
;00064;1;122,102499999944;1;PU;677;557;677;677;557;557;678,000000000000;558,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,44152149333333;4,84030959336892E-02;;"";"";"";"";"";""
;00065;2;244,204999999887;1;PU;684;508;684;685;508;508;686,000000000000;509,000000000000;1,00000000000000;0,00000000000000;2,00000000000000;1,00000000000000;2,00000000000000;0,00000000000000;0,32310408501204;0,00000000000000;;"";"";"";"";"";""
;00066;1;122,102499999944;1;PU;694;725;694;694;725;725;695,000000000000;726,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,21867178666667;0,17065126828482;;"";"";"";"";"";""
;00067;1;122,102499999944;1;PU;695;726;695;695;726;726;696,000000000000;727,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,38237346070124;0,25298437571758;;"";"";"";"";"";""
