Data ID:;D:\mrolf2\ML3.1_5-20_1-16_2v4\ML3.1_5-20_1-16_2v4.ilab
Date of Export:;2021-02-05 16:08:43
Classes:;24
Particles on File:;7534

Particle Classes:
;Class;Class Name;Class ID;No. of Particles
;1;PU;PU;42
;2;PET;PET;4
;3;PA;PA;4
;4;PC;PC;2
;5;PMMA;PMMA;29
;6;PVC;PVC;14
;7;PE;PE;261
;8;PP;PP;161
;9;POM;POM;7
;10;ABS;ABS;13
;11;PAN;PAN;0
;12;PS;PS;439
;13;PBT;PBT;0
;14;PPSU;PPSU;0
;15;CA;CA;0
;16;EVAc;EVAc;55
;17;PEEK;PEEK;0
;18;EVOH;EVOH;0
;19;PSU;PSU;0
;20;SILICONE;SI;0
;21;Substrat;Substrate;0
;22;Non-Polymer;Non-Polymer;6502
;23;PLA;PLA;0
;24;PLA-PBAT;PLAPBAT;1

Export Filter Parameters:
;Minimum Size:;1
;Minimum Relevance:;0,00000000000000
;Minimum Aux. Parameter:;0,00000000000000
;Selected Classes:;[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,23,24]
;No. Exported Particles:;1032

Particle Properties:
;Particle;Size [px];Area [µm≤];Class Idx;Class Name;XPos [px];YPos [px];Left Edge [px];Right Edge [px];Bottom Edge [px];Top Edge [px];CenterX [px];CenterY [px];PC1LdX;PC1LdY;Length [px];Width [px];Aspect;Direction [∞];Relevance;Similarity;Done;polymere?;Form;Farbe;L‰nge;Breite;Kommentar
;00047;22;2686,25499999876;2;PET;857;382;857;866;381;383;863,000000000000;383,000000000000;0,99269975940255;-0,12061172282212;10,1755212802673;3,46784641009361;2,93424796745615;173,072591855343;0,94720000000000;0,75231250979493;OK;"ja";"Faser";"transparent";"503";"44";""
;00048;1;122,102499999944;3;PA;353;730;353;353;730;730;354,000000000000;731,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,39212203748820;0,54616559986871;;"";"";"";"";"";""
;00049;1;122,102499999944;3;PA;356;728;356;356;728;728;357,000000000000;729,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,54038755555556;0,48439433137980;;"";"";"";"";"";""
;00050;25;3052,56249999859;7;PE;87;412;80;87;409;413;85,0000000000000;412,000000000000;0,99885117161845;4,79201101464356E-02;8,03987831147560;4,99540468647382;1,60945485222556;2,74667196400776;0,00000000000000;0,00000000000000;;"uneindeutig";"";"";"0";"0";""
;00051;43;5250,40749999758;7;PE;105;639;99;105;636;643;103,000000000000;640,000000000000;-0,33057397026917;0,94378008570878;8,59818251076911;6,71062233935140;1,28127945158662;109,303616843400;0,00000000000000;0,00000000000000;OK;"ja";"Fragment";"weiﬂ";"139";"129";""
;00052;51;6227,22749999713;7;PE;127;401;119;127;396;403;124,000000000000;401,000000000000;0,87103840699460;-0,49121491583656;10,4243818351395;7,32005169831922;1,42408582135193;150,579534212491;0,00000000000000;0,00000000000000;OK;"ja";"Fragment";"transparent";"121";"94";""
;00053;23;2808,35749999871;3;PA;685;770;685;691;766;771;689,000000000000;769,000000000000;0,79805633269507;-0,60258284894717;8,80125224090637;3,99675184703256;2,20210125065457;142,944894596574;0,63550805333333;0,80066493676793;OK;"ja";"Fragment";"grau";"80";"38";""
;00054;88;10745,0199999950;4;PC;209;742;209;219;739;749;215,000000000000;745,000000000000;0,77733747697528;-0,62908381547271;11,6222865241112;10,8449490471359;1,07167737474808;141,017439596544;0,89717860967243;0,85632854590686;OK;"ja";"Fragment";"transparent";"159";"88";""
;00055;1;122,102499999944;4;PC;717;740;717;717;740;740;718,000000000000;741,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,31646471458765;0,47632516176913;;"";"";"";"";"";""
;00056;1;122,102499999944;5;PMMA;118;620;118;118;620;620;119,000000000000;621,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,35209392201042;0,68342726555123;;"";"";"";"";"";""
;00057;1;122,102499999944;5;PMMA;126;619;126;126;619;619;127,000000000000;620,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,22923402656319;0,57897193553473;;"";"";"";"";"";""
;00058;3;366,307499999831;5;PMMA;148;680;148;149;679;680;150,000000000000;681,000000000000;0,70710678118655;-0,70710678118655;2,41421356237311;1,70710678118655;1,41421356237310;135,000000000000;0,13620850936449;8,39274714473548E-02;;"";"";"";"";"";""
;00059;11;1343,12749999938;5;PMMA;157;308;157;161;307;310;160,000000000000;309,000000000000;0,85065080835204;-0,52573111211913;5,45406545764644;3,22703272882319;1,69011780045856;148,282525588539;0,33427619451794;0,59054996439455;OK;"ja";"Kugel";"transparent";"95";"95";""
;00060;2;244,204999999887;5;PMMA;201;767;201;202;767;767;202,000000000000;768,000000000000;1,00000000000000;0,00000000000000;2,00000000000000;1,00000000000000;2,00000000000000;0,00000000000000;0,34858711626790;0,64010202400912;;"";"";"";"";"";""
;00061;56;6837,73999999685;5;PMMA;221;632;221;230;630;639;226,000000000000;636,000000000000;0,77327465278891;0,63407121946528;11,6246957585682;7,40265814180572;1,57034075272489;39,3511325416557;0,87174674962963;0,76516010525352;OK;"ja";"Fragment";"transparent";"209";"118";""
;00062;1;122,102499999944;5;PMMA;230;640;230;230;640;640;231,000000000000;641,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,63835311104730;0,44086206174026;;"";"";"";"";"";""
;00063;1;122,102499999944;5;PMMA;274;657;274;274;657;657;275,000000000000;658,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,48864684714667;0,28727436645234;;"";"";"";"";"";""
;00064;15;1831,53749999916;5;PMMA;306;849;306;311;847;850;310,000000000000;850,000000000000;0,95036966382974;-0,31112296937408;6,37409425789684;3,52298526640766;1,80928779880945;161,873081131278;0,52996369066667;0,63288562380472;OK;"ja";"Kugel";"transparent";"89";"89";""
