Data ID:;D:\mrolf2\ausgewertet - Copy\ML-2_5-20_1-64_3v5\ML-2_5-20_1-64_3v5.ilab
Date of Export:;2021-02-06 14:30:16
Classes:;24
Particles on File:;33379

Particle Classes:
;Class;Class Name;Class ID;No. of Particles
;1;PU;PU;7
;2;PET;PET;22
;3;PA;PA;0
;4;PC;PC;3
;5;PMMA;PMMA;3
;6;PVC;PVC;1
;7;PE;PE;29
;8;PP;PP;27
;9;POM;POM;1
;10;ABS;ABS;0
;11;PAN;PAN;0
;12;PS;PS;16
;13;PBT;PBT;3
;14;PPSU;PPSU;0
;15;CA;CA;6
;16;EVAc;EVAc;0
;17;PEEK;PEEK;0
;18;EVOH;EVOH;0
;19;PSU;PSU;0
;20;SILICONE;SI;0
;21;Substrat;Substrate;27533
;22;Non-Polymer;Non-Polymer;5728
;23;PLA;PLA;0
;24;PLA-PBAT;PLAPBAT;0

Export Filter Parameters:
;Minimum Size:;1
;Minimum Relevance:;0,00000000000000
;Minimum Aux. Parameter:;0,00000000000000
;Selected Classes:;[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,23,24]
;No. Exported Particles:;118

Particle Properties:
;Particle;Size [px];Area [µm≤];Class Idx;Class Name;XPos [px];YPos [px];Left Edge [px];Right Edge [px];Bottom Edge [px];Top Edge [px];CenterX [px];CenterY [px];PC1LdX;PC1LdY;Length [px];Width [px];Aspect;Direction [∞];Relevance;Similarity;Done;Plastik ja/nein;Form;Farbe;L‰nge;Breite;Kommentar
;00030;1;122,102499999944;4;PC;295;209;295;295;209;209;296,000000000000;210,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,45760041212839;0,31031037873431;;"";"";"";"";"";""
;00031;1;122,102499999944;4;PC;613;716;613;613;716;716;614,000000000000;717,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,51990755555556;0,00000000000000;;"";"";"";"";"";""
;00032;1;122,102499999944;4;PC;641;561;641;641;561;561;642,000000000000;562,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,27023568986647;0,35166781516999;;"";"";"";"";"";""
;00033;1;122,102499999944;5;PMMA;661;423;661;661;423;423;662,000000000000;424,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,35061045037300;0,45039178949223;;"";"";"";"";"";""
;00034;1;122,102499999944;5;PMMA;670;401;670;670;401;401;671,000000000000;402,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,39948288651225;0,33627360411856;;"";"";"";"";"";""
;00035;1;122,102499999944;5;PMMA;681;423;681;681;423;423;682,000000000000;424,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,38590503953695;0,42202706821655;;"";"";"";"";"";""
;00036;2;244,204999999887;6;PVC;219;429;219;219;429;430;220,000000000000;430,000000000000;0,00000000000000;1,00000000000000;2,00000000000000;1,00000000000000;2,00000000000000;90,0000000000000;0,55905768553440;0,34051691386360;OK;"ja";"Kugel";"weiﬂ";"57";"57";""
;00037;1;122,102499999944;7;PE;63;384;63;63;384;384;64,0000000000000;385,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,43555555555556;0,25871884134037;;"";"";"";"";"";""
;00038;1;122,102499999944;7;PE;70;407;70;70;407;407;71,0000000000000;408,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,48779537066667;5,05818063588441E-02;;"";"";"";"";"";""
;00039;1;122,102499999944;7;PE;72;405;72;72;405;405;73,0000000000000;406,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,41536474074074;0,53791056670792;;"";"";"";"";"";""
;00040;2;244,204999999887;7;PE;73;404;73;74;404;404;74,0000000000000;405,000000000000;1,00000000000000;0,00000000000000;2,00000000000000;1,00000000000000;2,00000000000000;0,00000000000000;0,36842725072593;0,38941905705721;;"";"";"";"";"";""
;00041;1;122,102499999944;7;PE;73;407;73;73;407;407;74,0000000000000;408,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,39354424636049;0,32002650648693;;"";"";"";"";"";""
;00042;3;366,307499999831;7;PE;73;409;73;74;409;410;74,0000000000000;410,000000000000;-0,70710678118655;0,70710678118655;2,41421356237311;1,70710678118655;1,41421356237310;135,000000000000;0,78577777777778;0,49379633056710;;"";"";"";"";"";""
;00043;2;244,204999999887;7;PE;76;408;76;77;408;408;78,0000000000000;409,000000000000;1,00000000000000;0,00000000000000;2,00000000000000;1,00000000000000;2,00000000000000;0,00000000000000;0,55569066666667;0,00000000000000;;"";"";"";"";"";""
;00044;1;122,102499999944;7;PE;97;595;97;97;595;595;98,0000000000000;596,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,47409894290103;0,11877303120183;;"";"";"";"";"";""
;00045;197;24054,1924999889;7;PE;150;603;130;150;595;608;142,000000000000;603,000000000000;0,95502536714577;-0,29652411050045;21,5831278954177;14,2394490687519;1,51572773575779;162,751047766469;0,00000000000000;0,00000000000000;OK;"ja";"Fragment";"weiﬂ";"226";"140";""
;00046;1161;141761,002499935;7;PE;613;202;586;613;165;228;599,000000000000;199,000000000000;1,12357826762449E-02;0,99993687660154;64,0184947912498;28,0095314509180;2,28559677634849;89,3562235272817;0,00000000000000;0,00000000000000;OK;"ja";"Fragment";"transparent";"684";"290";""
;00047;1;122,102499999944;7;PE;309;360;309;309;360;360;310,000000000000;361,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,43832888888889;0,63671372730225;;"";"";"";"";"";""
;00048;1;122,102499999944;7;PE;420;500;420;420;500;500;421,000000000000;501,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,41484553481482;0,15477307899047;;"";"";"";"";"";""
;00049;1;122,102499999944;7;PE;483;515;483;483;515;515;484,000000000000;516,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,48692622222222;0,29642303319728;;"";"";"";"";"";""
;00050;1;122,102499999944;7;PE;487;63;487;487;63;63;488,000000000000;64,0000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,50517333333333;0,15522077420524;;"";"";"";"";"";""
;00051;1;122,102499999944;8;PP;541;185;541;541;185;185;542,000000000000;186,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,40930872888889;0,58019604990511;OK;"ja";"Fragment";"transparent";"68";"53";""
;00052;289;35287,6224999837;7;PE;735;489;715;735;487;519;724,000000000000;504,000000000000;-0,42311597956527;0,90607553097770;37,6105046234612;12,5994511871687;2,98509070472560;115,031469203823;0,00000000000000;0,00000000000000;OK;"ja";"Fragment";"grau";"420";"88";""
;00053;330;40293,8249999814;8;PP;616;617;595;616;604;626;607,000000000000;616,000000000000;0,73983066250379;0,67279312631685;23,4008680125694;19,2300341822945;1,21689164931985;42,2830073875474;0,00000000000000;0,00000000000000;OK;"ja";"Fragment";"grau";"267";"238";""
;00054;17;2075,74249999904;12;PS;341;624;337;341;621;625;340,000000000000;624,000000000000;0,74727546713625;-0,66451439127855;5,89988396652296;4,48809410810804;1,31456333677684;138,354918403878;0,00000000000000;0,00000000000000;OK;"ja";"Fragment";"grau";"60";"43";""
;00055;26;3174,66499999854;12;PS;465;94;460;465;93;97;463,000000000000;96,0000000000000;0,96351790962994;-0,26764386378609;6,62052113950796;5,92464709366413;1,11745409217504;164,475889003246;0,00000000000000;0,00000000000000;OK;"ja";"Kugel";"transparent";"78";"78";""
;00056;24;2930,45999999865;12;PS;471;91;466;471;89;93;469,000000000000;92,0000000000000;0,94202885486416;-0,33553187121839;6,38120801675763;5,43917916189343;1,17319320191988;160,395116003772;0,00000000000000;0,00000000000000;OK;"ja";"Kugel";"transparent";"80";"80";""
;00057;8;976,819999999550;12;PS;482;488;482;484;488;490;484,000000000000;490,000000000000;0,70710678118655;0,70710678118655;3,82842712474621;3,12132034355966;1,22654091966099;45,0000000000000;0,00000000000000;0,00000000000000;OK;"ja";"Kugel";"transparent";"31";"31";""
;00058;19;2319,94749999893;12;PS;504;195;500;504;192;196;503,000000000000;195,000000000000;-0,70710678118655;0,70710678118655;6,65685424949243;4,53553390593277;1,46771127447308;135,000000000000;0,00000000000000;0,00000000000000;OK;"ja";"Kugel";"weiﬂ";"66";"66";""
;00059;1;122,102499999944;7;PE;596;613;596;596;613;613;597,000000000000;614,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,42306863407407;0,33611767770230;;"";"";"";"";"";""
;00060;18;2197,84499999899;12;PS;532;141;528;532;139;142;531,000000000000;142,000000000000;0,91975686005477;-0,39248862197800;5,85649330615308;4,54424782412030;1,28877066850702;156,890562382434;0,00000000000000;0,00000000000000;OK;"ja";"Fragment";"transparent";"59";"36";""
;00061;21;2564,15249999882;8;PP;542;185;535;542;184;188;539,000000000000;186,000000000000;0,93639081305734;-0,35095903638717;8,95857183695006;4,39460421584221;2,03853894388375;159,454014719097;0,00000000000000;0,00000000000000;OK;"ja";"Fragment";"transparent";"74";"77";""
;00062;19;2319,94749999893;12;PS;672;918;667;672;918;921;670,000000000000;920,000000000000;0,91025688693699;-0,41404395875775;6,79341631095821;4,55885857832641;1,49015728262668;155,540875567966;0,00000000000000;0,00000000000000;OK;"ja";"Kugel";"transparent";"50";"50";""
;00063;10;1221,02499999944;13;PBT;232;159;228;232;158;160;231,000000000000;160,000000000000;0,91758954028512;-0,39752916315578;5,46541648745207;2,83517908057027;1,92771473410870;156,576194867003;0,00000000000000;0,00000000000000;OK;"ja";"Fragment";"grau";"60";"26";""
;00064;26;3174,66499999854;12;PS;368;58;363;368;58;63;366,000000000000;61,0000000000000;-0,61710371988283;0,78688182016537;8,01992770024106;5,38173472042718;1,49021237888226;128,104939859934;0,00000000000000;0,00000000000000;OK;"ja";"Kugel";"transparent";"72";"72";""
;00068;2;244,204999999887;7;PE;607;610;607;607;610;611;608,000000000000;612,000000000000;0,00000000000000;1,00000000000000;2,00000000000000;1,00000000000000;2,00000000000000;90,0000000000000;0,33090673777778;0,70100152792681;;"";"";"";"";"";""
;00069;2;244,204999999887;7;PE;607;616;607;608;616;616;608,000000000000;617,000000000000;1,00000000000000;0,00000000000000;2,00000000000000;1,00000000000000;2,00000000000000;0,00000000000000;0,43341533234568;0,61153688844388;;"";"";"";"";"";""
;00077;1;122,102499999944;7;PE;612;625;612;612;625;625;613,000000000000;626,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,43366407011543;0,22328689381779;;"";"";"";"";"";""
;00078;1;122,102499999944;7;PE;648;77;648;648;77;77;649,000000000000;78,0000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,48149333333333;2,08910183193091E-02;;"";"";"";"";"";""
;00079;1;122,102499999944;7;PE;651;572;651;651;572;572;652,000000000000;573,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,33104093851496;0,65038021790421;;"";"";"";"";"";""
;00080;1;122,102499999944;7;PE;655;275;655;655;275;275;656,000000000000;276,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,56320000000000;0,54404561503140;;"";"";"";"";"";""
;00081;4;488,409999999775;7;PE;658;77;658;658;77;80;659,000000000000;80,0000000000000;0,00000000000000;1,00000000000000;4,00000000000000;1,00000000000000;4,00000000000000;90,0000000000000;0,66426821565981;0,70165804834566;;"";"";"";"";"";""
;00082;7;854,717499999606;7;PE;659;76;659;663;75;76;662,000000000000;77,0000000000000;0,99717488542000;-7,51148979072507E-02;4,98869954167992;2,14740468123449;2,32312967615030;175,692175907918;0,41561115306667;0,53196228229637;;"";"";"";"";"";""
;00083;11;1343,12749999938;7;PE;661;79;661;666;79;81;665,000000000000;81,0000000000000;0,91631117191275;0,40046702264717;6,38248990485806;2,83262234382551;2,25320891038316;23,6073775636596;0,62692010666667;0,76272516970621;OK;"ja";"Fragment";"transparent";"118";"71";""
;00084;1;122,102499999944;7;PE;664;83;664;664;83;83;665,000000000000;84,0000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,38871040000000;0,37428225770202;;"";"";"";"";"";""
;00085;1;122,102499999944;7;PE;670;100;670;670;100;100;671,000000000000;101,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,43306666666667;0,41825413403659;;"";"";"";"";"";""
;00093;11;1343,12749999938;7;PE;912;728;912;914;727;731;914,000000000000;730,000000000000;-0,22975292054736;0,97324898946773;5,12274887841824;3,17625089948274;1,61282878479546;103,282525588539;0,56489604740741;0,82841287886377;;"";"";"";"";"";""
;00094;1;122,102499999944;8;PP;451;59;451;451;59;59;452,000000000000;60,0000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,26679466666667;0,71377253897829;;"";"";"";"";"";""
;00095;1;122,102499999944;8;PP;452;58;452;452;58;58;453,000000000000;59,0000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,41676800000000;0,55355300876417;;"";"";"";"";"";""
;00097;1;122,102499999944;8;PP;589;203;589;589;203;203;590,000000000000;204,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,47412622222222;0,80489164919381;;"";"";"";"";"";""
;00098;1;122,102499999944;8;PP;590;205;590;590;205;205;591,000000000000;206,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,54990222222222;0,82224615643069;;"";"";"";"";"";""
;00099;1;122,102499999944;8;PP;590;214;590;590;214;214;591,000000000000;215,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,48105218230044;0,64354789811038;;"";"";"";"";"";""
;00100;1;122,102499999944;8;PP;590;217;590;590;217;217;591,000000000000;218,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,33638400000000;0,49936418076615;;"";"";"";"";"";""
;00101;1;122,102499999944;8;PP;591;186;591;591;186;186;592,000000000000;187,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,47766945185185;0,80472087558428;;"";"";"";"";"";""
;00102;1;122,102499999944;8;PP;592;224;592;592;224;224;593,000000000000;225,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,51805188551111;0,80396776208553;;"";"";"";"";"";""
;00103;1;122,102499999944;8;PP;593;204;593;593;204;204;594,000000000000;205,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,35489960896790;0,83850543954528;;"";"";"";"";"";""
;00104;1;122,102499999944;8;PP;594;226;594;594;226;226;595,000000000000;227,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,30403950617284;0,72190841585033;;"";"";"";"";"";""
;00105;2;244,204999999887;8;PP;596;172;596;597;172;172;598,000000000000;173,000000000000;1,00000000000000;0,00000000000000;2,00000000000000;1,00000000000000;2,00000000000000;0,00000000000000;0,17566833777778;0,81158673120548;;"";"";"";"";"";""
;00106;1;122,102499999944;8;PP;597;182;597;597;182;182;598,000000000000;183,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,44713016467490;0,79037349247553;;"";"";"";"";"";""
;00107;5;610,512499999719;8;PP;598;218;598;600;217;219;600,000000000000;219,000000000000;-0,56062880930518;0,82806723046927;3,21676327024375;2,38869603977446;1,34666077922056;124,099295256824;0,25515349333333;0,82211505030779;;"";"";"";"";"";""
;00110;1;122,102499999944;8;PP;601;169;601;601;169;169;602,000000000000;170,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,34819666172839;0,69291515631191;;"";"";"";"";"";""
;00112;1;122,102499999944;8;PP;604;212;604;604;212;212;605,000000000000;213,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,52344414309136;0,79864409432311;;"";"";"";"";"";""
;00113;1;122,102499999944;8;PP;605;205;605;605;205;205;606,000000000000;206,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,30838328888889;0,83726073480751;;"";"";"";"";"";""
;00114;2;244,204999999887;8;PP;605;213;605;606;213;213;606,000000000000;214,000000000000;1,00000000000000;0,00000000000000;2,00000000000000;1,00000000000000;2,00000000000000;0,00000000000000;0,55351779555556;0,82383243433477;;"";"";"";"";"";""
;00115;1;122,102499999944;8;PP;605;215;605;605;215;215;606,000000000000;216,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,47889730370370;0,75657844103426;;"";"";"";"";"";""
