Data ID:;D:\mrolf2\ML2_5-20_1-64_4v5\ML-2_5-20_1-64_4v5.ilab
Date of Export:;2021-02-06 14:33:03
Classes:;24
Particles on File:;18341

Particle Classes:
;Class;Class Name;Class ID;No. of Particles
;1;PU;PU;1
;2;PET;PET;1
;3;PA;PA;0
;4;PC;PC;0
;5;PMMA;PMMA;1
;6;PVC;PVC;2
;7;PE;PE;34
;8;PP;PP;8
;9;POM;POM;0
;10;ABS;ABS;0
;11;PAN;PAN;0
;12;PS;PS;21
;13;PBT;PBT;0
;14;PPSU;PPSU;0
;15;CA;CA;0
;16;EVAc;EVAc;0
;17;PEEK;PEEK;0
;18;EVOH;EVOH;1
;19;PSU;PSU;0
;20;SILICONE;SI;0
;21;Substrat;Substrate;13777
;22;Non-Polymer;Non-Polymer;4495
;23;PLA;PLA;0
;24;PLA-PBAT;PLAPBAT;0

Export Filter Parameters:
;Minimum Size:;1
;Minimum Relevance:;0,00000000000000
;Minimum Aux. Parameter:;0,00000000000000
;Selected Classes:;[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,23,24]
;No. Exported Particles:;69

Particle Properties:
;Particle;Size [px];Area [µm²];Class Idx;Class Name;XPos [px];YPos [px];Left Edge [px];Right Edge [px];Bottom Edge [px];Top Edge [px];CenterX [px];CenterY [px];PC1LdX;PC1LdY;Length [px];Width [px];Aspect;Direction [°];Relevance;Similarity;Done;polymere?;Form;Farbe;Länge;Breite;Kommentar
;00036;46;5616,71499999926;7;PE;937;633;937;945;632;640;942,000000000000;637,000000000000;0,69257327725142;0,72134752764338;10,9262198846554;6,02065844311176;1,81478819765239;46,1658471688495;0,84000000000000;0,72952822269150;OK;"ja";"Fragment";"transparent";"164";"83";""
;00037;3;366,307499999952;7;PE;967;494;967;968;493;494;969,000000000000;495,000000000000;-0,70710678118655;0,70710678118655;2,41421356237311;1,70710678118644;1,41421356237319;135,000000000000;0,74951111111111;0,82859704839581;;"";"";"";"";"";""
;00038;7;854,717499999887;7;PE;970;497;970;971;497;500;972,000000000000;499,000000000000;0,14521314468540;0,98940039549748;4,11341433117786;2,27982668486823;1,80426624465781;81,6503778830032;0,59164444444444;0,83099541085426;;"";"";"";"";"";""
;00039;2;244,204999999968;7;PE;972;495;972;972;495;496;973,000000000000;496,000000000000;0,00000000000000;1,00000000000000;2,00000000000000;1,00000000000000;2,00000000000000;90,0000000000000;0,73208888888889;0,81008752616122;;"";"";"";"";"";""
;00040;16;1953,63999999974;8;PP;158;733;158;163;733;735;162,000000000000;735,000000000000;0,99127809250084;0,13178673426373;6,21996393103166;3,37791638779277;1,84136112827114;7,57285307221509;0,56099555555556;0,94186358547381;OK;"ja";"Fragment";"grau";"190";"68";""
;00041;20;2442,04999999968;8;PP;320;573;320;325;573;577;323,000000000000;576,000000000000;0,90353262142484;0,42851931347507;7,23174036102444;4,56763649122468;1,58325654305416;25,3736287015703;0,69143523555556;0,84316009844930;OK;"ja";"Fragment";"grau";"134";"96";""
;00042;1;122,102499999984;8;PP;326;576;326;326;576;576;327,000000000000;577,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,26299733333333;0,36387238228262;;"";"";"";"";"";""
;00043;20;2442,04999999968;8;PP;674;919;674;681;918;921;679,000000000000;920,000000000000;0,99632336817842;-8,56723177088986E-02;8,05993589495768;3,90329778682633;2,06490417465971;175,085313131841;0,83413333333333;0,86213018643579;OK;"ja";"Fragment";"grau";"129";"60";""
;00044;1;122,102499999984;8;PP;821;131;821;821;131;131;822,000000000000;132,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,19410192681151;0,34099188749873;;"";"";"";"";"";""
;00045;1;122,102499999984;8;PP;822;130;822;822;130;130;823,000000000000;131,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,48208205056110;0,54345310430506;;"";"";"";"";"";""
;00046;3;366,307499999952;8;PP;824;129;824;825;129;130;825,000000000000;130,000000000000;-0,70710678118655;0,70710678118655;2,41421356237311;1,70710678118644;1,41421356237319;135,000000000000;0,50947516491852;0,66530258733576;;"";"";"";"";"";""
;00047;12;1465,22999999981;8;PP;827;126;827;831;125;128;830,000000000000;128,000000000000;0,92931149819918;-0,36929681736348;5,08654281016027;3,59721663112532;1,41402182069003;158,327743269560;0,32241414214795;0,55206240878472;;"";"";"";"";"";""
