MP identifier,Coordinates [pixels],Coordinates [µm],,,Polymer group,Number of pixels [-],Area on map [µm²],Major dimension [µm],Minor dimension [µm],Volume [µm³],Mass [ng],Sampling_Site,Sample_replicate,Sampling_Period
MP_1,[404,1199],[2222,6595],pe,249,7532.3,159.1,60.3,181587.219,172.50786,Kirakkakoski (S3),1,July2021
MP_2,[524,1516],[2882,8338],pe,77,2329.3,69,43,40020.664,38.01963,Kirakkakoski (S3),1,July2021
MP_3,[565,211],[3108,1161],pe,741,22415.3,252,113.2,1015323.375,964.55719,Kirakkakoski (S3),1,July2021
MP_4,[892,1552],[4906,8536],pe,280,8470,155,69.6,235702.859,223.91772,Kirakkakoski (S3),1,July2021
MP_5,[1193,438],[6562,2409],pe,500,15125,244.7,78.7,476227.688,452.41631,Kirakkakoski (S3),1,July2021
MP_6,[1595,458],[8773,2519],pe,90,2722.5,74.3,46.7,50805.785,48.2655,Kirakkakoski (S3),1,July2021
MP_7,[2112,1611],[11616,8861],ps,51,1542.8,72.6,27,16689.57,17.35715,Kirakkakoski (S3),1,July2021
MP_8,[1983,1457],[10907,8014],pp,310,9377.5,170.9,69.8,261986.703,248.88736,Kirakkakoski (S3),1,July2021
MP_9,[565,1039],[3108,5715],pp,97,2934.3,86.4,43.2,50745.203,48.20794,Kirakkakoski (S3),1,July2021
MP_10,[1513,723],[8322,3977],pp,239,7229.8,134.5,68.5,197951,188.05345,Kirakkakoski (S3),1,July2021
MP_11,[2083,1564],[11457,8602],pp,15,453.8,33,17.5,3177.528,3.01865,Kirakkakoski (S3),1,July2021
MP_1,[380,1849],[2090,10170],pet,45,1361.3,52.8,32.8,17869.27,24.65959,Nilijoki (S4),1,July2021
MP_2,[1323,1974],[7277,10857],pet,125,3781.3,153.3,31.4,47507.25,65.56001,Nilijoki (S4),1,July2021
MP_3,[1831,1746],[10071,9603],pet,36,1089,79.6,17.4,7588.354,10.47193,Nilijoki (S4),1,July2021
MP_4,[1842,1084],[10131,5962],pet,78,2359.5,90.4,33.2,31353.965,43.26847,Nilijoki (S4),1,July2021
MP_5,[2144,830],[11792,4565],pet,9,272.3,22.9,15.1,1648.968,2.27558,Nilijoki (S4),1,July2021
MP_6,[1968,1004],[10824,5522],ps,35,1058.8,47.9,28.1,11913.133,12.38966,Nilijoki (S4),1,July2021
MP_7,[1332,966],[7326,5313],abs,115,3478.8,97.9,45.2,62950.805,67.35737,Nilijoki (S4),1,July2021
MP_8,[23,1109],[127,6100],pp,20,605,40.3,19.1,4627.399,4.39603,Nilijoki (S4),1,July2021
MP_9,[1366,797],[7513,4384],pp,423,12795.8,271.9,59.9,306669.375,291.33591,Nilijoki (S4),1,July2021
MP_10,[1624,1533],[8932,8432],pp,465,14066.3,231,77.5,436169,414.36053,Nilijoki (S4),1,July2021
MP_11,[1833,1715],[10082,9433],pp,12,363,28.2,16.4,2381.702,2.26262,Nilijoki (S4),1,July2021
