Data ID:;D:\mrolf2\ML1\ML1.1_5-20_1-32_4v5\ML1.1_5-20_1-32_4v5.ilab
Date of Export:;2021-02-06 11:51:01
Classes:;24
Particles on File:;14517

Particle Classes:
;Class;Class Name;Class ID;No. of Particles
;1;PU;PU;11
;2;PET;PET;9
;3;PA;PA;0
;4;PC;PC;0
;5;PMMA;PMMA;0
;6;PVC;PVC;9
;7;PE;PE;38
;8;PP;PP;28
;9;POM;POM;0
;10;ABS;ABS;1
;11;PAN;PAN;0
;12;PS;PS;5
;13;PBT;PBT;0
;14;PPSU;PPSU;0
;15;CA;CA;0
;16;EVAc;EVAc;0
;17;PEEK;PEEK;0
;18;EVOH;EVOH;0
;19;PSU;PSU;0
;20;SILICONE;SI;0
;21;Substrat;Substrate;7121
;22;Non-Polymer;Non-Polymer;7295
;23;PLA;PLA;0
;24;PLA-PBAT;PLAPBAT;0

Export Filter Parameters:
;Minimum Size:;1
;Minimum Relevance:;0,00000000000000
;Minimum Aux. Parameter:;0,00000000000000
;Selected Classes:;[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,23,24]
;No. Exported Particles:;101

Particle Properties:
;Particle;Size [px];Area [µm²];Class Idx;Class Name;XPos [px];YPos [px];Left Edge [px];Right Edge [px];Bottom Edge [px];Top Edge [px];CenterX [px];CenterY [px];PC1LdX;PC1LdY;Length [px];Width [px];Aspect;Direction [°];Relevance;Similarity;Done;polymere?;Form;Farbe;Länge;Breite;Kommentar
;00030;1;122,102499999944;7;PE;77;567;77;77;567;567;78,0000000000000;568,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,36153347034074;0,00000000000000;;"";"";"";"";"";""
;00031;1;122,102499999944;7;PE;170;595;170;170;595;595;171,000000000000;596,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,42992355555556;0,00000000000000;;"";"";"";"";"";""
;00032;1;122,102499999944;7;PE;171;666;171;171;666;666;172,000000000000;667,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,35917748148148;0,94610644792344;OK;"ja";"Fragment";"transparent";"171";"41";""
;00033;9;1098,92249999949;7;PE;214;520;214;218;518;520;217,000000000000;520,000000000000;0,85065080835204;-0,52573111211913;5,45406545764644;2,70130161670409;2,01905089898886;148,282525588539;0,50176000000000;0,69717296017762;OK;"ja";"Fragment";"transparent";"366";"274";""
;00034;9;1098,92249999949;7;PE;216;529;216;219;528;532;219,000000000000;531,000000000000;0,59199416034056;0,80594225234980;5,40775733008024;2,77598248102169;1,94805167793780;53,7013520656781;0,63988622222222;0,62830389963350;;"";"";"";"";"";""
;00035;5;610,512499999719;7;PE;219;523;219;221;522;523;221,000000000000;524,000000000000;0,94868329805051;-0,31622776601684;3,21359436211787;2,26491106406741;1,41886116991578;161,565051177078;0,29664546765432;0,54152263509712;;"";"";"";"";"";""
;00036;1;122,102499999944;7;PE;219;541;219;219;541;541;220,000000000000;542,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,58082304000000;0,58260960498466;;"";"";"";"";"";""
;00037;2;244,204999999887;7;PE;220;528;220;221;528;528;222,000000000000;529,000000000000;1,00000000000000;0,00000000000000;2,00000000000000;1,00000000000000;2,00000000000000;0,00000000000000;0,48665536034976;0,61143235015236;;"";"";"";"";"";""
;00038;2;244,204999999887;7;PE;220;535;220;220;535;536;221,000000000000;536,000000000000;0,00000000000000;1,00000000000000;2,00000000000000;1,00000000000000;2,00000000000000;90,0000000000000;0,31406459259259;0,60531344587142;;"";"";"";"";"";""
;00039;2;244,204999999887;7;PE;220;540;220;221;540;540;222,000000000000;541,000000000000;1,00000000000000;0,00000000000000;2,00000000000000;1,00000000000000;2,00000000000000;0,00000000000000;0,56212694913580;0,37746192854425;;"";"";"";"";"";""
