Data ID:;D:\mrolf2\ML3.3_5-20\NO2-1\ML3.3_5-20_NO.2-1.ilab
Date of Export:;2020-07-10 11:06:20
Classes:;24
Particles:;3856

Particle Classes:
;Class;Class Name;Class ID;No. of Particles
;1;PU;PU;22
;2;PET;PET;4
;3;PA;PA;0
;4;PC;PC;3
;5;PMMA;PMMA;0
;6;PVC;PVC;35
;7;PE;PE;43
;8;PP;PP;7
;9;POM;POM;0
;10;ABS;ABS;2
;11;PAN;PAN;0
;12;PS;PS;2
;13;PBT;PBT;0
;14;PPSU;PPSU;0
;15;CA;CA;0
;16;EVAc;EVAc;0
;17;PEEK;PEEK;1
;18;EVOH;EVOH;2
;19;PSU;PSU;0
;20;SILICONE;SI;1
;21;Substrat;Substrate;0
;22;Non-Polymer;Non-Polymer;3734
;23;PLA;PLA;0
;24;PLA-PBAT;PLAPBAT;0

Filter Parameters:
;Minimum Size:;1
;Minimum Relevance:;0,00000000000000
;Minimum Aux. Parameter:;0,00000000000000
;Selected Classes:;[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,23,24]

Particle Properties:
;Particle;Size;Class Idx;Class Name;XPos;YPos;Left Edge;Right Edge;Bottom Edge;Top Edge;CenterX;CenterY;PC1LdX;PC1LdY;Length;Width;Aspect;Direction;Relevance;Similarity;Done;polymere?;Form;Farbe;L‰nge;Breite;Kommentar
;00033;1;6;PVC;169;659;169;169;659;659;170,000000000000;660,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,42138440691358;0,24260707172416;;"";"";"";"";"";""
;00034;2;6;PVC;171;658;171;171;658;659;172,000000000000;660,000000000000;0,00000000000000;1,00000000000000;2,00000000000000;1,00000000000000;2,00000000000000;90,0000000000000;0,22613333333333;0,34228692299205;;"";"";"";"";"";""
;00035;1;6;PVC;171;664;171;171;664;664;172,000000000000;665,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,68620874587654;0,17630293691180;;"";"";"";"";"";""
;00036;1;6;PVC;172;657;172;172;657;657;173,000000000000;658,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,81394874595556;0,58380414812613;;"";"";"";"";"";""
;00037;2;6;PVC;172;663;172;173;663;663;174,000000000000;664,000000000000;1,00000000000000;0,00000000000000;2,00000000000000;1,00000000000000;2,00000000000000;0,00000000000000;0,35621680165926;2,52934055289485E-02;;"";"";"";"";"";""
;00038;9;6;PVC;224;748;224;228;747;749;227,000000000000;749,000000000000;0,94868329805051;0,31622776601684;5,11096095821893;2,89736659610105;1,76400216841620;18,4349488229220;0,56064000000000;0,40008641105416;;"";"";"";"";"";""
;00039;1;6;PVC;225;742;225;225;742;742;226,000000000000;743,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,40975170370370;2,23735997251612E-02;;"";"";"";"";"";""
;00040;1;6;PVC;225;745;225;225;745;745;226,000000000000;746,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,34080000000000;0,59162977369144;;"";"";"";"";"";""
;00041;5;6;PVC;226;743;226;228;743;745;228,000000000000;745,000000000000;0,00000000000000;1,00000000000000;3,00000000000000;3,00000000000000;1,00000000000000;90,0000000000000;0,40519111111111;0,50614606489608;;"";"";"";"";"";""
;00042;1;6;PVC;226;746;226;226;746;746;227,000000000000;747,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,72987022222222;0,51256976607454;OK;"ja";"Fragment";"weiﬂ";"176";"153";""
;00043;2;6;PVC;229;741;229;230;741;741;230,000000000000;742,000000000000;1,00000000000000;0,00000000000000;2,00000000000000;1,00000000000000;2,00000000000000;0,00000000000000;0,65367333799506;0,42071743231760;;"";"";"";"";"";""
;00044;1;6;PVC;229;745;229;229;745;745;230,000000000000;746,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,32336074716602;0,33831883358180;;"";"";"";"";"";""
;00045;3;6;PVC;230;743;230;231;742;743;232,000000000000;744,000000000000;0,70710678118655;-0,70710678118655;2,41421356237311;1,70710678118655;1,41421356237310;135,000000000000;0,45827714897822;0,37430286943281;;"";"";"";"";"";""
;00046;9;6;PVC;230;746;230;233;745;748;233,000000000000;748,000000000000;-0,58471028466376;0,81124218517556;4,60314712485422;3,79190493967860;1,21394053861603;125,782525588539;0,40498062222222;0,62470463393718;;"";"";"";"";"";""
;00047;3;6;PVC;233;742;233;235;742;742;235,000000000000;743,000000000000;1,00000000000000;0,00000000000000;3,00000000000000;1,00000000000000;3,00000000000000;0,00000000000000;0,60255135334400;0,49031908807425;;"";"";"";"";"";""
;00048;2;6;PVC;273;450;273;274;450;450;274,000000000000;451,000000000000;1,00000000000000;0,00000000000000;2,00000000000000;1,00000000000000;2,00000000000000;0,00000000000000;0,48412444444444;0,31356849977528;;"";"";"";"";"";""
;00049;2;6;PVC;431;626;431;431;626;627;432,000000000000;628,000000000000;0,00000000000000;1,00000000000000;2,00000000000000;1,00000000000000;2,00000000000000;90,0000000000000;0,48350701037037;3,99361180545407E-02;;"";"";"";"";"";""
;00050;5;6;PVC;442;550;442;443;549;552;444,000000000000;551,000000000000;8,98055953159171E-02;0,99595931395311;3,98787794185932;2,08576490926902;1,91194986747424;84,8475767656170;0,32977777777778;0,51832952801604;;"";"";"";"";"";""
;00051;1;6;PVC;514;371;514;514;371;371;515,000000000000;372,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,47360000000000;0,17660414569101;;"";"";"";"";"";""
;00052;3;6;PVC;514;373;514;515;372;373;516,000000000000;374,000000000000;-0,70710678118655;0,70710678118655;2,41421356237311;1,70710678118667;1,41421356237300;135,000000000000;0,22243792213333;0,65443404769608;;"";"";"";"";"";""
;00053;5;6;PVC;527;102;527;528;102;104;528,000000000000;104,000000000000;0,31622776601684;0,94868329805051;3,21359436211782;2,26491106406741;1,41886116991575;71,5650511770780;0,70463582258568;0,63375054375936;;"";"";"";"";"";""
;00054;1;6;PVC;567;557;567;567;557;557;568,000000000000;558,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,63001600842798;0,49242452697464;;"";"";"";"";"";""
;00055;9;6;PVC;576;642;576;579;642;644;578,000000000000;644,000000000000;0,99443511957226;-0,10535080902060;4,08865616773733;3,09422104816520;1,32138464062282;173,952621461494;0,74666666666667;0,53787834149316;OK;"ja";"Fragment";"weiﬂ";"63";"54";""
;00056;1;6;PVC;646;134;646;646;134;134;647,000000000000;135,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,31565983547791;8,57727231252204E-02;;"";"";"";"";"";""
;00057;1;6;PVC;732;160;732;732;160;160;733,000000000000;161,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,38462057242321;0,50276243983671;;"";"";"";"";"";""
;00058;2;6;PVC;734;164;734;735;164;164;736,000000000000;165,000000000000;1,00000000000000;0,00000000000000;2,00000000000000;1,00000000000000;2,00000000000000;0,00000000000000;0,82880000000000;0,45552799148469;OK;"ja";"Fragment";"";"179";"73";""
;00059;2;6;PVC;739;164;739;740;164;164;740,000000000000;165,000000000000;1,00000000000000;0,00000000000000;2,00000000000000;1,00000000000000;2,00000000000000;0,00000000000000;0,57216493037037;0,17484581689361;;"";"";"";"";"";""
;00060;1;6;PVC;857;315;857;857;315;315;858,000000000000;316,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,47111111111111;0,77224219316838;OK;"ja";"Pixel";"";"11";"11";""
;00061;1;6;PVC;902;370;902;902;370;370;903,000000000000;371,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,36133271071605;9,82186154121303E-02;;"";"";"";"";"";""
;00062;4;6;PVC;918;292;918;919;292;294;919,000000000000;294,000000000000;0,31622776601684;0,94868329805051;3,21359436211776;1,94868329805047;1,64911064067350;71,5650511770780;0,34828894814815;0,60432922591288;;"";"";"";"";"";""
;00063;2;6;PVC;921;293;921;922;293;293;922,000000000000;294,000000000000;1,00000000000000;0,00000000000000;2,00000000000000;1,00000000000000;2,00000000000000;0,00000000000000;0,44132503703704;0,39521038696073;;"";"";"";"";"";""
;00064;16;6;PVC;969;567;969;973;566;569;972,000000000000;568,000000000000;1,00000000000000;0,00000000000000;5,00000000000000;4,00000000000000;1,25000000000000;0,00000000000000;0,46098962962963;0,48053604860865;OK;"ja";"Fragment";"";"101";"57";""
;00065;1;7;PE;113;537;113;113;537;537;114,000000000000;538,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,38996707033021;1,08065486000670E-02;;"";"";"";"";"";""
;00066;1;7;PE;256;638;256;256;638;638;257,000000000000;639,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,45309831985514;0,15402199628821;;"";"";"";"";"";""
;00067;1;7;PE;278;231;278;278;231;231;279,000000000000;232,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,51833590518519;0,23189884989922;;"";"";"";"";"";""
;00068;1;7;PE;293;366;293;293;366;366;294,000000000000;367,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,39666371788800;0,29841789502306;;"";"";"";"";"";""
;00069;1;7;PE;318;722;318;318;722;722;319,000000000000;723,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,47940949333333;5,20495033983671E-02;;"";"";"";"";"";""
;00070;1;7;PE;320;575;320;320;575;575;321,000000000000;576,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,58094933333333;0,54431001587469;;"";"";"";"";"";""
;00071;1;7;PE;322;575;322;322;575;575;323,000000000000;576,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,59324444444444;0,29735735347935;;"";"";"";"";"";""
;00072;2;7;PE;344;284;344;345;284;284;346,000000000000;285,000000000000;1,00000000000000;0,00000000000000;2,00000000000000;1,00000000000000;2,00000000000000;0,00000000000000;0,43536118518519;0,46344884696337;;"";"";"";"";"";""
