Data ID:;D:\mrolf2\ML3.1_5-20_1-16_4v4\ML3.1_5-20_1-16_4v4.ilab
Date of Export:;2020-06-30 11:13:19
Classes:;24
Particles:;30642

Particle Classes:
;Class;Class Name;Class ID;No. of Particles
;1;PU;PU;2
;2;PET;PET;0
;3;PA;PA;1
;4;PC;PC;2
;5;PMMA;PMMA;10
;6;PVC;PVC;0
;7;PE;PE;41
;8;PP;PP;40
;9;POM;POM;3
;10;ABS;ABS;0
;11;PAN;PAN;0
;12;PS;PS;18
;13;PBT;PBT;0
;14;PPSU;PPSU;0
;15;CA;CA;0
;16;EVAc;EVAc;0
;17;PEEK;PEEK;0
;18;EVOH;EVOH;1
;19;PSU;PSU;0
;20;SILICONE;SI;0
;21;Substrat;Substrate;23803
;22;Non-Polymer;Non-Polymer;6721
;23;PLA;PLA;0
;24;PLA-PBAT;PLAPBAT;0

Filter Parameters:
;Minimum Size:;1
;Minimum Relevance:;0,00000000000000
;Minimum Aux. Parameter:;0,00000000000000
;Selected Classes:;[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,23,24]

Particle Properties:
;Particle;Size;Class Idx;Class Name;XPos;YPos;Left Edge;Right Edge;Bottom Edge;Top Edge;CenterX;CenterY;PC1LdX;PC1LdY;Length;Width;Aspect;Direction;Relevance;Similarity;Done;polymere?;Form;Farbe;L‰nge;Breite;Kommentar
;00032;3;7;PE;358;449;358;359;449;450;359,000000000000;450,000000000000;0,70710678118655;-0,70710678118655;2,41421356237308;1,70710678118655;1,41421356237308;135,000000000000;0,42558895007078;0,16354071810924;;"";"";"";"";"";""
;00033;1;7;PE;359;451;359;359;451;451;360,000000000000;452,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,30720000000000;0,17149474633839;;"";"";"";"";"";""
;00034;1;7;PE;383;268;383;383;268;268;384,000000000000;269,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,49736549403812;0,22898161749058;;"";"";"";"";"";""
;00035;1;7;PE;383;272;383;383;272;272;384,000000000000;273,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,47872000000000;0,67418472389705;;"";"";"";"";"";""
;00036;2;7;PE;423;372;423;424;372;372;424,000000000000;373,000000000000;1,00000000000000;0,00000000000000;2,00000000000000;1,00000000000000;2,00000000000000;0,00000000000000;0,46080000000000;0,40831208383069;;"";"";"";"";"";""
;00037;2;7;PE;488;408;488;489;408;408;490,000000000000;409,000000000000;1,00000000000000;0,00000000000000;2,00000000000000;1,00000000000000;2,00000000000000;0,00000000000000;0,49385969588148;0,28098968049921;;"";"";"";"";"";""
;00038;1;7;PE;491;409;491;491;409;409;492,000000000000;410,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,40533333333333;9,26066847384531E-02;;"";"";"";"";"";""
;00039;1;7;PE;492;410;492;492;410;410;493,000000000000;411,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,67254474271605;9,54772131944860E-02;;"";"";"";"";"";""
;00040;1;7;PE;553;131;553;553;131;131;554,000000000000;132,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,53475555555556;0,37533160539130;;"";"";"";"";"";""
;00041;1;7;PE;560;237;560;560;237;237;561,000000000000;238,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,70858666666667;9,60943089567321E-02;;"";"";"";"";"";""
;00042;1;7;PE;560;239;560;560;239;239;561,000000000000;240,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,45955555555556;0,43277894213230;;"";"";"";"";"";""
;00043;1;7;PE;561;238;561;561;238;238;562,000000000000;239,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,40744823466667;0,38896141116986;;"";"";"";"";"";""
;00044;1;7;PE;586;768;586;586;768;768;587,000000000000;769,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,46826761481481;0,35158987520246;;"";"";"";"";"";""
;00045;3;7;PE;588;769;588;589;769;770;589,000000000000;770,000000000000;0,70710678118655;-0,70710678118655;2,41421356237311;1,70710678118655;1,41421356237310;135,000000000000;0,48570311111111;0,30897487805031;;"";"";"";"";"";""
;00046;4;7;PE;646;927;646;647;926;928;648,000000000000;928,000000000000;-0,52573111211913;0,85065080835204;3,22703272882325;1,85065080835193;1,74372859226590;121,717474411461;0,44412450133333;9,64954990092683E-02;;"";"";"";"";"";""
;00047;1;7;PE;660;336;660;660;336;336;661,000000000000;337,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,41711881481481;0,47274976876407;;"";"";"";"";"";""
;00048;315;7;PE;679;553;660;679;536;559;670,000000000000;550,000000000000;0,39467967174424;0,91881878339086;25,9501692955297;18,1986380046216;1,42594018788327;66,7540024912736;0,00000000000000;0,00000000000000;OK;"ja";"Fragment";"transparent";"341";"225";""
;00060;1;7;PE;697;492;697;697;492;492;698,000000000000;493,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,31603643733333;0,48199840625634;;"";"";"";"";"";""
;00061;2;7;PE;736;121;736;736;121;122;737,000000000000;122,000000000000;0,00000000000000;1,00000000000000;2,00000000000000;1,00000000000000;2,00000000000000;90,0000000000000;0,47412622222222;0,16006995179105;;"";"";"";"";"";""
;00062;1;7;PE;751;304;751;751;304;304;752,000000000000;305,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,56711111111111;0,36045916393408;;"";"";"";"";"";""
;00063;2;7;PE;763;290;763;763;290;291;764,000000000000;292,000000000000;0,00000000000000;1,00000000000000;2,00000000000000;1,00000000000000;2,00000000000000;90,0000000000000;0,57688888888889;0,94315068549798;OK;"ja";"Fragment";"transparent";"98";"63";""
;00064;18;7;PE;779;198;779;784;198;203;783,000000000000;201,000000000000;0,73864343824560;0,67409633668840;7,32505543642435;4,56412298811364;1,60492069462217;42,3840148177504;0,44353126993330;0,51788218409833;OK;"ja";"Fragment";"grau";"148";"140";""
;00065;2;7;PE;785;192;785;785;192;193;786,000000000000;194,000000000000;0,00000000000000;1,00000000000000;2,00000000000000;1,00000000000000;2,00000000000000;90,0000000000000;0,32817777777778;0,34908931803920;;"";"";"";"";"";""
;00066;2;7;PE;789;485;789;789;485;486;790,000000000000;486,000000000000;0,00000000000000;1,00000000000000;2,00000000000000;1,00000000000000;2,00000000000000;90,0000000000000;0,45917573162327;9,47100244980008E-02;;"";"";"";"";"";""
;00067;6;7;PE;815;517;815;818;516;517;818,000000000000;518,000000000000;1,00000000000000;0,00000000000000;4,00000000000000;2,00000000000000;2,00000000000000;0,00000000000000;0,82272678747654;0,84314571915864;OK;"ja";"Kugel";"grau";"74";"74";""
;00068;1;8;PP;111;677;111;111;677;677;112,000000000000;678,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,40263982591848;0,60495463599147;OK;"ja";"Fragment";"transparent";"74";"40";""
;00069;46;8;PP;152;776;152;165;773;781;158,000000000000;778,000000000000;0,91324887317710;0,40740213013772;14,9092460019909;6,47949323906266;2,30098951444353;24,0417448178358;0,44284444444444;0,93700925345253;OK;"ja";"Fragment";"transparent";"290";"84";""
;00070;11;8;PP;169;753;169;172;751;754;172,000000000000;754,000000000000;-0,65643124852818;0,75438585349656;4,57602005754598;3,26315756048973;1,40232887095382;131,028264094705;0,96035555555556;0,94879053615005;OK;"ja";"Fragment";"weiﬂ";"81";"44";""
;00071;5;8;PP;183;219;183;185;218;220;185,000000000000;220,000000000000;0,82806723046927;-0,56062880930518;3,21676327024373;2,38869603977452;1,34666077922052;145,900704743176;0,73309866666667;0,86496642224137;OK;"ja";"Fragment";"transparent";"172";"41";""
;00072;54;8;PP;247;113;247;255;112;119;252,000000000000;116,000000000000;0,99730389721025;-7,33821273147894E-02;9,34534181425596;8,12789153510136;1,14978672807048;175,791731157839;0,49971200000000;0,91413430133712;OK;"ja";"Fragment";"grau";"136";"81";""
;00073;1;8;PP;323;564;323;323;564;564;324,000000000000;565,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,43862516622222;0,28175548039041;;"";"";"";"";"";""
;00074;1;8;PP;324;563;324;324;563;563;325,000000000000;564,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,54118564345679;0,37929830910360;;"";"";"";"";"";""
;00075;1;8;PP;326;564;326;326;564;564;327,000000000000;565,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,70684444444445;0,77014544420055;OK;"ja";"Fragment";"grau";"66";"48";""
;00076;1;8;PP;356;837;356;356;837;837;357,000000000000;838,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,67093333333333;0,36457904396050;;"";"";"";"";"";""
;00077;5;8;PP;377;883;377;378;883;885;378,000000000000;885,000000000000;0,00000000000000;1,00000000000000;3,00000000000000;2,00000000000000;1,50000000000000;90,0000000000000;0,73348092839506;0,70705960287558;OK;"ja";"Fragment";"weiﬂ";"70";"40";""
;00078;19;8;PP;380;269;380;382;269;275;382,000000000000;273,000000000000;0,00000000000000;1,00000000000000;7,00000000000000;3,00000000000000;2,33333333333333;90,0000000000000;0,71230350222222;0,79479939152615;OK;"ja";"Fragment";"grau";"136";"91";""
;00079;2;8;PP;380;884;380;381;884;884;382,000000000000;885,000000000000;1,00000000000000;0,00000000000000;2,00000000000000;1,00000000000000;2,00000000000000;0,00000000000000;0,62826666666667;0,60017931514741;;"";"";"";"";"";""
;00080;1;8;PP;384;271;384;384;271;271;385,000000000000;272,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,41222144000000;0,59228688893825;;"";"";"";"";"";""
;00081;1;8;PP;464;525;464;464;525;525;465,000000000000;526,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,51528188915358;0,45609980601557;;"";"";"";"";"";""
;00082;1;8;PP;471;246;471;471;246;246;472,000000000000;247,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,48237037037037;0,23384068353021;;"";"";"";"";"";""
;00083;1;8;PP;496;98;496;496;98;98;497,000000000000;99,0000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,40498462203084;0,26943165001457;;"";"";"";"";"";""
;00084;1;8;PP;533;533;533;533;533;533;534,000000000000;534,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,46344551706337;0,66054508852035;;"";"";"";"";"";""
;00085;21;8;PP;534;538;534;541;534;538;538,000000000000;538,000000000000;0,98359347547282;0,18039921010719;7,88515432830980;5,29517232210560;1,48912138239428;10,3930135217846;0,75219200000000;0,72008289027886;OK;"ja";"Fragment";"transparent";"198";"128";""
;00086;1;8;PP;536;526;536;536;526;526;537,000000000000;527,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,50350744630782;0,49980539230713;;"";"";"";"";"";""
;00087;1;8;PP;544;83;544;544;83;83;545,000000000000;84,0000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,27751627950459;0,35756524983064;;"";"";"";"";"";""
;00088;1;8;PP;545;84;545;545;84;84;546,000000000000;85,0000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,41082434260807;0,86396042449663;;"";"";"";"";"";""
;00089;10;8;PP;567;944;567;570;941;945;569,000000000000;944,000000000000;-0,50192681819323;0,86491009311860;5,96542082705412;2,72982018623713;2,18527976938915;120,127559351529;0,18203511509548;0,58588009800820;OK;"ja";"Faser";"transparent";"186";"28";""
;00090;1;8;PP;571;940;571;571;940;940;572,000000000000;941,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,36162208148543;0,52205833670645;;"";"";"";"";"";""
;00091;2;8;PP;572;939;572;573;939;939;574,000000000000;940,000000000000;1,00000000000000;0,00000000000000;2,00000000000000;1,00000000000000;2,00000000000000;0,00000000000000;0,31230382591298;0,30194354501053;;"";"";"";"";"";""
;00092;4;8;PP;574;938;574;576;937;938;576,000000000000;938,000000000000;0,85065080835204;-0,52573111211913;3,22703272882325;1,85065080835216;1,74372859226568;148,282525588539;0,39745270154672;0,34833792962154;;"";"";"";"";"";""
;00093;8;8;PP;577;936;577;581;934;936;580,000000000000;936,000000000000;0,91975686005477;-0,39248862197800;5,46400468417511;2,31224548203272;2,36307292051519;156,890562382434;0,57139419801811;0,40164420316156;;"";"";"";"";"";""
;00094;1;8;PP;663;545;663;663;545;545;664,000000000000;546,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,53568853333333;0,81455432186708;;"";"";"";"";"";""
;00095;1;8;PP;665;543;665;665;543;543;666,000000000000;544,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,36437333333333;0,82343890341744;;"";"";"";"";"";""
;00096;1;8;PP;665;552;665;665;552;552;666,000000000000;553,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,47660088888889;0,83501007672627;;"";"";"";"";"";""
;00097;1;8;PP;666;542;666;666;542;542;667,000000000000;543,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,41255822222222;0,80628588394464;;"";"";"";"";"";""
;00098;1;8;PP;667;550;667;667;550;550;668,000000000000;551,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,40626725925926;0,81139724430595;;"";"";"";"";"";""
;00099;2;8;PP;668;542;668;668;542;543;669,000000000000;544,000000000000;0,00000000000000;1,00000000000000;2,00000000000000;1,00000000000000;2,00000000000000;90,0000000000000;0,32555614814815;0,80253866933990;;"";"";"";"";"";""
;00100;2;8;PP;668;546;668;669;546;546;670,000000000000;547,000000000000;1,00000000000000;0,00000000000000;2,00000000000000;1,00000000000000;2,00000000000000;0,00000000000000;0,42958443456790;0,83468236883777;;"";"";"";"";"";""
;00101;1;8;PP;671;542;671;671;542;542;672,000000000000;543,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,37940503859487;0,68033773761946;;"";"";"";"";"";""
;00102;3;8;PP;673;550;673;675;550;550;675,000000000000;551,000000000000;1,00000000000000;0,00000000000000;3,00000000000000;1,00000000000000;3,00000000000000;0,00000000000000;0,39889623500842;0,79864700552159;;"";"";"";"";"";""
;00103;4;8;PP;674;388;674;676;388;389;676,000000000000;389,000000000000;0,94868329805051;-0,31622776601684;3,21359436211787;1,94868329805047;1,64911064067356;161,565051177078;0,79004681270782;0,46383356982183;OK;"ja";"Fragment";"grau";"86";"67";""
;00104;1;8;PP;677;551;677;677;551;551;678,000000000000;552,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,37427281920000;0,70929191306941;;"";"";"";"";"";""
;00105;1;8;PP;679;553;679;679;553;553;680,000000000000;554,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,41975376150124;0,59216789439902;;"";"";"";"";"";""
;00106;22;8;PP;774;253;774;778;253;260;777,000000000000;258,000000000000;0,53843495817638;0,84266707293782;9,05240934327026;4,30063902040479;2,10489866745854;57,4228369087443;0,84718933333333;0,90619985411901;OK;"ja";"Fragment";"transparent";"147";"60";""
;00107;4;8;PP;866;445;866;867;445;447;867,000000000000;447,000000000000;-0,31622776601684;0,94868329805051;3,21359436211787;1,94868329805058;1,64911064067346;108,434948822922;0,50311054222222;0,36192266764838;;"";"";"";"";"";""
