Data ID:;D:\mrolf2\ML1\ML1.1_5-20_1-32_2v5\ML1.1_5-20_1-32_2v5.ilab
Date of Export:;2021-02-06 11:43:03
Classes:;24
Particles on File:;2421

Particle Classes:
;Class;Class Name;Class ID;No. of Particles
;1;PU;PU;12
;2;PET;PET;3
;3;PA;PA;0
;4;PC;PC;1
;5;PMMA;PMMA;12
;6;PVC;PVC;10
;7;PE;PE;77
;8;PP;PP;37
;9;POM;POM;0
;10;ABS;ABS;2
;11;PAN;PAN;0
;12;PS;PS;12
;13;PBT;PBT;0
;14;PPSU;PPSU;2
;15;CA;CA;0
;16;EVAc;EVAc;1
;17;PEEK;PEEK;1
;18;EVOH;EVOH;4
;19;PSU;PSU;0
;20;SILICONE;SI;0
;21;Substrat;Substrate;0
;22;Non-Polymer;Non-Polymer;2246
;23;PLA;PLA;1
;24;PLA-PBAT;PLAPBAT;0

Export Filter Parameters:
;Minimum Size:;1
;Minimum Relevance:;0,00000000000000
;Minimum Aux. Parameter:;0,00000000000000
;Selected Classes:;[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,23,24]
;No. Exported Particles:;175

Particle Properties:
;Particle;Size [px];Area [µm≤];Class Idx;Class Name;XPos [px];YPos [px];Left Edge [px];Right Edge [px];Bottom Edge [px];Top Edge [px];CenterX [px];CenterY [px];PC1LdX;PC1LdY;Length [px];Width [px];Aspect;Direction [∞];Relevance;Similarity;Done;polymere?;Form;Farbe;L‰nge;Breite;Kommentar
;00032;2;244,204999999887;6;PVC;384;620;384;384;620;621;385,000000000000;622,000000000000;0,00000000000000;1,00000000000000;2,00000000000000;1,00000000000000;2,00000000000000;90,0000000000000;0,74765653333333;0,25632278520004;;"";"";"";"";"";""
;00033;1;122,102499999944;6;PVC;386;617;386;386;617;617;387,000000000000;618,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,53475555555556;0,36056071883029;;"";"";"";"";"";""
;00034;1;122,102499999944;6;PVC;386;620;386;386;620;620;387,000000000000;621,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,34943194914293;0,43192365254195;;"";"";"";"";"";""
;00035;1;122,102499999944;6;PVC;418;575;418;418;575;575;419,000000000000;576,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,31249389969000;0,21305330237659;;"";"";"";"";"";""
;00036;1;122,102499999944;6;PVC;598;418;598;598;418;418;599,000000000000;419,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,43304349114402;0,44445906106285;;"";"";"";"";"";""
;00037;1;122,102499999944;6;PVC;609;165;609;609;165;165;610,000000000000;166,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,28295527221531;0,12220458846345;;"";"";"";"";"";""
;00038;1;122,102499999944;6;PVC;630;854;630;630;854;854;631,000000000000;855,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,33597753495478;0,16808998095935;;"";"";"";"";"";""
;00039;2;244,204999999887;6;PVC;707;155;707;707;155;156;708,000000000000;156,000000000000;0,00000000000000;1,00000000000000;2,00000000000000;1,00000000000000;2,00000000000000;90,0000000000000;0,45191111111111;0,74580827153646;;"";"";"";"";"";""
;00040;2;244,204999999887;6;PVC;969;573;969;969;573;574;970,000000000000;574,000000000000;0,00000000000000;1,00000000000000;2,00000000000000;1,00000000000000;2,00000000000000;90,0000000000000;0,47886714962055;0,48164720955043;;"";"";"";"";"";""
;00041;1;122,102499999944;7;PE;108;350;108;108;350;350;109,000000000000;351,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,40124444444444;0,56622855285322;;"";"";"";"";"";""
;00042;1;122,102499999944;7;PE;109;352;109;109;352;352;110,000000000000;353,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,38169600000000;0,49336513482230;;"";"";"";"";"";""
;00043;2;244,204999999887;7;PE;172;766;172;172;766;767;173,000000000000;768,000000000000;0,00000000000000;1,00000000000000;2,00000000000000;1,00000000000000;2,00000000000000;90,0000000000000;0,25453037037037;0,43278658731433;;"";"";"";"";"";""
;00044;2;244,204999999887;7;PE;190;547;190;191;547;547;192,000000000000;548,000000000000;1,00000000000000;0,00000000000000;2,00000000000000;1,00000000000000;2,00000000000000;0,00000000000000;0,33344237037037;0,69542369398498;;"";"";"";"";"";""
;00045;1;122,102499999944;7;PE;225;591;225;225;591;591;226,000000000000;592,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,58402133333333;0,23669519706621;;"";"";"";"";"";""
;00046;1;122,102499999944;7;PE;237;653;237;237;653;653;238,000000000000;654,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,40956928000000;0,14849542291168;;"";"";"";"";"";""
;00047;1;122,102499999944;7;PE;285;340;285;285;340;340;286,000000000000;341,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,34139970210801;0,34931143933067;;"";"";"";"";"";""
;00048;1;122,102499999944;7;PE;290;342;290;290;342;342;291,000000000000;343,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,70858666666667;0,30856590841235;;"";"";"";"";"";""
;00049;2;244,204999999887;7;PE;321;846;321;322;846;846;322,000000000000;847,000000000000;1,00000000000000;0,00000000000000;2,00000000000000;1,00000000000000;2,00000000000000;0,00000000000000;0,27063512103776;0,27538977328547;;"";"";"";"";"";""
;00050;1;122,102499999944;7;PE;340;287;340;340;287;287;341,000000000000;288,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,52906666666667;0,37976015203526;;"";"";"";"";"";""
;00051;5;610,512499999719;7;PE;340;289;340;342;289;290;342,000000000000;290,000000000000;0,94868329805051;0,31622776601684;3,21359436211782;2,26491106406738;1,41886116991577;18,4349488229220;0,61394488888889;0,37346396560926;;"";"";"";"";"";""
