Data ID:;D:\mrolf2\ML3.3_5-20\NO1-1\ML3.3_5-20_NO1-1.ilab
Date of Export:;2020-07-10 11:00:24
Classes:;24
Particles:;4182

Particle Classes:
;Class;Class Name;Class ID;No. of Particles
;1;PU;PU;23
;2;PET;PET;9
;3;PA;PA;1
;4;PC;PC;2
;5;PMMA;PMMA;2
;6;PVC;PVC;20
;7;PE;PE;22
;8;PP;PP;11
;9;POM;POM;0
;10;ABS;ABS;0
;11;PAN;PAN;0
;12;PS;PS;3
;13;PBT;PBT;0
;14;PPSU;PPSU;0
;15;CA;CA;0
;16;EVAc;EVAc;1
;17;PEEK;PEEK;0
;18;EVOH;EVOH;3
;19;PSU;PSU;0
;20;SILICONE;SI;0
;21;Substrat;Substrate;1
;22;Non-Polymer;Non-Polymer;4083
;23;PLA;PLA;0
;24;PLA-PBAT;PLAPBAT;1

Filter Parameters:
;Minimum Size:;1
;Minimum Relevance:;0,00000000000000
;Minimum Aux. Parameter:;0,00000000000000
;Selected Classes:;[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,23,24]

Particle Properties:
;Particle;Size;Class Idx;Class Name;XPos;YPos;Left Edge;Right Edge;Bottom Edge;Top Edge;CenterX;CenterY;PC1LdX;PC1LdY;Length;Width;Aspect;Direction;Relevance;Similarity;Done;polymere?;Form;Farbe;L‰nge;Breite;Kommentar
;00059;1;7;PE;184;575;184;184;575;575;185,000000000000;576,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,54569244444444;0,22902323369181;;"";"";"";"";"";""
;00060;2;7;PE;280;266;280;281;266;266;282,000000000000;267,000000000000;1,00000000000000;0,00000000000000;2,00000000000000;1,00000000000000;2,00000000000000;0,00000000000000;0,15720739318549;0,23615890568080;;"";"";"";"";"";""
;00061;2;7;PE;282;265;282;283;265;265;284,000000000000;266,000000000000;1,00000000000000;0,00000000000000;2,00000000000000;1,00000000000000;2,00000000000000;0,00000000000000;0,50868148148148;0,18463643110956;;"";"";"";"";"";""
;00062;1;7;PE;345;153;345;345;153;153;346,000000000000;154,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,40533333333333;0,47451701840215;;"";"";"";"";"";""
;00063;2;7;PE;405;545;405;406;545;545;406,000000000000;546,000000000000;1,00000000000000;0,00000000000000;2,00000000000000;1,00000000000000;2,00000000000000;0,00000000000000;0,31129600000000;0,28947233143462;;"";"";"";"";"";""
;00064;1;7;PE;410;859;410;410;859;859;411,000000000000;860,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,48782222222222;3,56845146849407E-02;;"";"";"";"";"";""
;00065;1;7;PE;429;542;429;429;542;542;430,000000000000;543,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,43520000000000;8,17742993455660E-02;;"";"";"";"";"";""
;00066;1;7;PE;499;668;499;499;668;668;500,000000000000;669,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,42400000000000;0,17265885885099;;"";"";"";"";"";""
;00067;1;7;PE;504;506;504;504;506;506;505,000000000000;507,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,46991644444444;0,24356459567899;;"";"";"";"";"";""
;00068;1;7;PE;519;542;519;519;542;542;520,000000000000;543,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,53777777777778;0,00000000000000;;"";"";"";"";"";""
;00069;2;7;PE;524;381;524;524;381;382;525,000000000000;382,000000000000;0,00000000000000;1,00000000000000;2,00000000000000;1,00000000000000;2,00000000000000;90,0000000000000;0,42097777777778;0,29079152600231;;"";"";"";"";"";""
;00070;1;7;PE;636;372;636;636;372;372;637,000000000000;373,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,39270400000000;0,14940800979009;;"";"";"";"";"";""
;00071;1;7;PE;640;575;640;640;575;575;641,000000000000;576,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,59362544197531;0,14984296548717;;"";"";"";"";"";""
;00072;3;7;PE;648;318;648;649;318;319;650,000000000000;319,000000000000;0,70710678118655;0,70710678118655;2,41421356237311;1,70710678118655;1,41421356237310;45,0000000000000;0,33980066407243;5,70806323672437E-02;;"";"";"";"";"";""
;00073;3;7;PE;658;480;658;659;479;480;660,000000000000;481,000000000000;-0,70710678118655;0,70710678118655;2,41421356237311;1,70710678118667;1,41421356237300;135,000000000000;0,45932942222222;0,31861278603744;;"";"";"";"";"";""
