Data ID:;D:\mrolf2\ML3.3_5-20\NO1-2\ML3.3_5-20_NO1-2.ilab
Date of Export:;2020-07-10 11:02:39
Classes:;24
Particles:;4593

Particle Classes:
;Class;Class Name;Class ID;No. of Particles
;1;PU;PU;13
;2;PET;PET;3
;3;PA;PA;0
;4;PC;PC;2
;5;PMMA;PMMA;2
;6;PVC;PVC;15
;7;PE;PE;21
;8;PP;PP;4
;9;POM;POM;0
;10;ABS;ABS;0
;11;PAN;PAN;0
;12;PS;PS;3
;13;PBT;PBT;0
;14;PPSU;PPSU;0
;15;CA;CA;0
;16;EVAc;EVAc;0
;17;PEEK;PEEK;0
;18;EVOH;EVOH;1
;19;PSU;PSU;0
;20;SILICONE;SI;1
;21;Substrat;Substrate;0
;22;Non-Polymer;Non-Polymer;4528
;23;PLA;PLA;0
;24;PLA-PBAT;PLAPBAT;0

Filter Parameters:
;Minimum Size:;1
;Minimum Relevance:;0,00000000000000
;Minimum Aux. Parameter:;0,00000000000000
;Selected Classes:;[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,23,24]

Particle Properties:
;Particle;Size;Class Idx;Class Name;XPos;YPos;Left Edge;Right Edge;Bottom Edge;Top Edge;CenterX;CenterY;PC1LdX;PC1LdY;Length;Width;Aspect;Direction;Relevance;Similarity;Done;polymere?;Form;Farbe;Länge;Breite;Kommentar
;00032;4;6;PVC;654;414;654;656;413;414;656,000000000000;415,000000000000;0,94868329805051;-0,31622776601684;3,21359436211787;1,94868329805047;1,64911064067356;161,565051177078;0,39315370750879;0,30041163009080;;"";"";"";"";"";""
;00033;1;6;PVC;654;417;654;654;417;417;655,000000000000;418,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,48174093900590;0,50914750062164;;"";"";"";"";"";""
;00034;1;6;PVC;656;409;656;656;409;409;657,000000000000;410,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,46575110320988;0,00000000000000;;"";"";"";"";"";""
;00035;2;6;PVC;700;432;700;700;432;433;701,000000000000;434,000000000000;0,00000000000000;1,00000000000000;2,00000000000000;1,00000000000000;2,00000000000000;90,0000000000000;0,42659907498784;0,75971541783770;OK;"ja";"Fragment";"grau";"64";"42";""
;00036;1;7;PE;218;652;218;218;652;652;219,000000000000;653,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,42097777777778;0,11988784272885;;"";"";"";"";"";""
;00037;3;7;PE;252;552;252;252;552;554;253,000000000000;554,000000000000;0,00000000000000;1,00000000000000;3,00000000000000;1,00000000000000;3,00000000000000;90,0000000000000;0,56101837432099;0,20006623025220;;"";"";"";"";"";""
;00038;1;7;PE;254;555;254;254;555;555;255,000000000000;556,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,56709214814815;0,29377682416151;;"";"";"";"";"";""
;00039;4;7;PE;255;556;255;257;556;557;257,000000000000;557,000000000000;0,94868329805051;-0,31622776601684;3,21359436211790;1,94868329805058;1,64911064067348;161,565051177078;0,44336983022301;0,56255484143290;;"";"";"";"";"";""
;00040;2;7;PE;256;559;256;257;559;559;258,000000000000;560,000000000000;1,00000000000000;0,00000000000000;2,00000000000000;1,00000000000000;2,00000000000000;0,00000000000000;0,52444444444445;0,39973052628781;;"";"";"";"";"";""
;00041;2;7;PE;259;563;259;259;563;564;260,000000000000;564,000000000000;0,00000000000000;1,00000000000000;2,00000000000000;1,00000000000000;2,00000000000000;90,0000000000000;0,49497631604938;0,00000000000000;;"";"";"";"";"";""
;00042;2;7;PE;262;565;262;262;565;566;263,000000000000;566,000000000000;0,00000000000000;1,00000000000000;2,00000000000000;1,00000000000000;2,00000000000000;90,0000000000000;0,56919703703704;9,12734640990499E-02;;"";"";"";"";"";""
;00043;6;7;PE;264;562;264;267;562;563;266,000000000000;563,000000000000;1,00000000000000;0,00000000000000;4,00000000000000;2,00000000000000;2,00000000000000;0,00000000000000;0,40857600000000;0,21394058191646;;"";"";"";"";"";""
;00044;2;7;PE;265;565;265;266;565;565;266,000000000000;566,000000000000;1,00000000000000;0,00000000000000;2,00000000000000;1,00000000000000;2,00000000000000;0,00000000000000;0,53094400000000;6,49647320858189E-02;;"";"";"";"";"";""
