Data ID:;D:\Image_Lab_Daten\mrolf2\0-5_ML\ML2.3_0-5_NO3_1\ML2_3_0-5_No3-1.ilab
Date of Export:;2021-04-20 11:57:47
Classes:;24
Particles on File:;2208

Particle Classes:
;Class;Class Name;Class ID;No. of Particles
;1;PU;PU;7
;2;PET;PET;1
;3;PA;PA;1
;4;PC;PC;0
;5;PMMA;PMMA;0
;6;PVC;PVC;9
;7;PE;PE;17
;8;PP;PP;3
;9;POM;POM;1
;10;ABS;ABS;0
;11;PAN;PAN;0
;12;PS;PS;2
;13;PBT;PBT;0
;14;PPSU;PPSU;1
;15;CA;CA;0
;16;EVAc;EVAc;0
;17;PEEK;PEEK;0
;18;EVOH;EVOH;0
;19;PSU;PSU;0
;20;SILICONE;SI;0
;21;Substrat;Substrate;17
;22;Non-Polymer;Non-Polymer;2148
;23;PLA;PLA;1
;24;PLA-PBAT;PLAPBAT;0

Export Filter Parameters:
;Minimum Size:;1
;Minimum Relevance:;0,00000000000000
;Minimum Aux. Parameter:;0,00000000000000
;Selected Classes:;[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,23,24]
;No. Exported Particles:;43

Particle Properties:
;Particle;Size [px];Area [µm²];Class Idx;Class Name;XPos [px];YPos [px];Left Edge [px];Right Edge [px];Bottom Edge [px];Top Edge [px];CenterX [px];CenterY [px];PC1LdX;PC1LdY;Length [px];Width [px];Aspect;Direction [°];Relevance;Similarity;Done;polymer;shape;length;width;comment
;00033;1;122,102499999944;7;PE;749;205;749;749;205;205;749;205;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,52586666666667;0,22921860790938;;"";"";"";"";""
;00034;1;122,102499999944;7;PE;829;383;829;829;383;383;829;383;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,53493333333333;0,14116902202285;;"";"";"";"";""
;00035;1;122,102499999944;7;PE;865;389;865;865;389;389;865;389;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,54755555555556;0,13841833434895;;"";"";"";"";""
;00036;2;244,204999999887;8;PP;128;364;128;129;364;364;128;364;1,00000000000000;0,00000000000000;2,00000000000000;1,00000000000000;2,00000000000000;0,00000000000000;0,37904327202133;0,53303191419692;;"";"";"";"";""
;00037;1;122,102499999944;8;PP;677;667;677;677;667;667;677;667;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,41269333333333;0,57106538081680;;"";"";"";"";""
;00038;1;122,102499999944;8;PP;857;682;857;857;682;682;857;682;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,39308591260540;0,17611185737236;;"";"";"";"";""
;00039;72;8791,37999999595;9;POM;437;790;437;446;788;796;441;792;0,91230415523177;-0,40951328225936;11,6678170906421;10,3459996531509;1,12776121030399;155,825736377533;0,61363909973333;0,87066217890693;OK;"";"fragment";"149";"126";""
;00040;1;122,102499999944;12;PS;397;179;397;397;179;179;397;179;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,43907514469136;0,55769869816949;OK;"";"bead";"59";"59";""
;00041;1;122,102499999944;12;PS;398;178;398;398;178;178;398;178;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,64637629629630;0,58071201864976;;"";"";"";"";""
;00042;1;122,102499999944;14;PPSU;455;695;455;455;695;695;455;695;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,27564957812665;0,20940640799225;;"";"";"";"";""
;02208;1;122,102499999944;23;PLA;508;717;508;508;717;717;508;717;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,42034911762963;0,27154280102328;;"";"";"";"";""
