Data ID:;D:\Image_Lab_Daten\mrolf2\0-5_ML\ML1.1_0-5_1-8_3v5\ML1_1_0-5_1-8_3v5.ilab
Date of Export:;2021-04-20 11:27:59
Classes:;24
Particles on File:;12504

Particle Classes:
;Class;Class Name;Class ID;No. of Particles
;1;PU;PU;22
;2;PET;PET;5
;3;PA;PA;5
;4;PC;PC;2
;5;PMMA;PMMA;26
;6;PVC;PVC;23
;7;PE;PE;305
;8;PP;PP;182
;9;POM;POM;13
;10;ABS;ABS;1
;11;PAN;PAN;0
;12;PS;PS;73
;13;PBT;PBT;0
;14;PPSU;PPSU;0
;15;CA;CA;0
;16;EVAc;EVAc;52
;17;PEEK;PEEK;0
;18;EVOH;EVOH;1
;19;PSU;PSU;0
;20;SILICONE;SI;0
;21;Substrat;Substrate;3924
;22;Non-Polymer;Non-Polymer;7869
;23;PLA;PLA;0
;24;PLA-PBAT;PLAPBAT;1

Export Filter Parameters:
;Minimum Size:;1
;Minimum Relevance:;0,00000000000000
;Minimum Aux. Parameter:;0,00000000000000
;Selected Classes:;[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,23,24]
;No. Exported Particles:;711

Particle Properties:
;Particle;Size [px];Area [µm²];Class Idx;Class Name;XPos [px];YPos [px];Left Edge [px];Right Edge [px];Bottom Edge [px];Top Edge [px];CenterX [px];CenterY [px];PC1LdX;PC1LdY;Length [px];Width [px];Aspect;Direction [°];Relevance;Similarity;Done;polymer;shape;length;width;comment
;00033;1;122,102499999944;4;PC;641;97;641;641;97;97;641;97;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,32799119837024;0,57999377821770;;"";"";"";"";""
;00034;1;122,102499999944;4;PC;795;445;795;795;445;445;795;445;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,32091852017299;0,51037339285009;;"";"";"";"";""
;00035;1;122,102499999944;5;PMMA;92;679;92;92;679;679;92;679;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,32501177943454;0,33203498342443;;"";"";"";"";""
;00036;1;122,102499999944;5;PMMA;100;333;100;100;333;333;100;333;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,35493043038988;0,31517169857241;;"";"";"";"";""
;00037;11;1343,12749999938;5;PMMA;140;540;140;143;537;541;142;540;-0,46034931286504;0,88773786116437;5,47165007038751;4,12356289635812;1,32692290815305;117,409650319379;0,53882450831906;0,66014385612680;OK;"";"fragment";"105";"70";""
;00038;1;122,102499999944;5;PMMA;240;364;240;240;364;364;240;364;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,47896489755883;0,32400549582345;OK;"";"unidentified";"11";"11";""
;00039;2;244,204999999887;5;PMMA;421;316;421;421;316;317;421;316;0,00000000000000;1,00000000000000;2,00000000000000;1,00000000000000;2,00000000000000;90,0000000000000;0,36664446487177;0,00000000000000;;"";"";"";"";""
;00040;1;122,102499999944;5;PMMA;435;337;435;435;337;337;435;337;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,30126276954017;0,40768828156271;;"";"";"";"";""
;00041;1;122,102499999944;5;PMMA;534;346;534;534;346;346;534;346;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,45870282018765;0,16344226242845;;"";"";"";"";""
;00042;1;122,102499999944;5;PMMA;543;138;543;543;138;138;543;138;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,22498565157724;0,32655946431704;;"";"";"";"";""
;00043;2;244,204999999887;5;PMMA;604;858;604;605;858;858;604;858;1,00000000000000;0,00000000000000;2,00000000000000;1,00000000000000;2,00000000000000;0,00000000000000;0,34767974453588;0,35675061060491;;"";"";"";"";""
