Data ID:;D:\Image_Lab_Daten\mrolf2\0-5_ML\ML3.3_0-5_No.3-1\ML3_3_0-5_NO3-1.ilab
Date of Export:;2021-04-20 13:28:54
Classes:;24
Particles on File:;2984

Particle Classes:
;Class;Class Name;Class ID;No. of Particles
;1;PU;PU;46
;2;PET;PET;6
;3;PA;PA;0
;4;PC;PC;4
;5;PMMA;PMMA;0
;6;PVC;PVC;49
;7;PE;PE;46
;8;PP;PP;8
;9;POM;POM;2
;10;ABS;ABS;1
;11;PAN;PAN;0
;12;PS;PS;16
;13;PBT;PBT;0
;14;PPSU;PPSU;1
;15;CA;CA;0
;16;EVAc;EVAc;0
;17;PEEK;PEEK;0
;18;EVOH;EVOH;2
;19;PSU;PSU;0
;20;SILICONE;SI;0
;21;Substrat;Substrate;0
;22;Non-Polymer;Non-Polymer;2803
;23;PLA;PLA;0
;24;PLA-PBAT;PLAPBAT;0

Export Filter Parameters:
;Minimum Size:;1
;Minimum Relevance:;0,00000000000000
;Minimum Aux. Parameter:;0,00000000000000
;Selected Classes:;[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,23,24]
;No. Exported Particles:;181

Particle Properties:
;Particle;Size [px];Area [µm²];Class Idx;Class Name;XPos [px];YPos [px];Left Edge [px];Right Edge [px];Bottom Edge [px];Top Edge [px];CenterX [px];CenterY [px];PC1LdX;PC1LdY;Length [px];Width [px];Aspect;Direction [°];Relevance;Similarity;Done;Polymer;Shape;Length;Width;Comment
;00039;1;122,102499999944;1;PU;815;494;815;815;494;494;815;494;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,44266776384688;0,00000000000000;;"";"";"";"";""
;00040;1;122,102499999944;1;PU;840;701;840;840;701;701;840;701;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,48000000000000;0,00000000000000;;"";"";"";"";""
;00041;1;122,102499999944;1;PU;856;228;856;856;228;228;856;228;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,73391737534894;0,00000000000000;;"";"";"";"";""
;00042;2;244,204999999887;1;PU;870;295;870;871;295;295;870;295;1,00000000000000;0,00000000000000;2,00000000000000;1,00000000000000;2,00000000000000;0,00000000000000;0,38832496761363;0,00000000000000;;"";"";"";"";""
;00043;1;122,102499999944;1;PU;873;295;873;873;295;295;873;295;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,54257019259259;0,00000000000000;;"";"";"";"";""
;00044;1;122,102499999944;1;PU;874;641;874;874;641;641;874;641;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,41148207407407;0,00000000000000;;"";"";"";"";""
;00045;2;244,204999999887;1;PU;905;634;905;906;634;634;906;634;1,00000000000000;0,00000000000000;2,00000000000000;1,00000000000000;2,00000000000000;0,00000000000000;0,49359176691358;0,00000000000000;;"";"";"";"";""
;00046;2;244,204999999887;1;PU;913;470;913;914;470;470;914;470;1,00000000000000;0,00000000000000;2,00000000000000;1,00000000000000;2,00000000000000;0,00000000000000;0,33953655463071;0,00000000000000;;"";"";"";"";""
;00047;18;2197,84499999899;2;PET;214;349;214;220;346;349;217;348;0,95526152006323;-0,29576245246226;7,32309402530390;4,45730946511418;1,64294045154801;162,796737017649;0,81458638696296;0,00000000000000;OK;"";"fragment";"113";"58";""
;00048;1;122,102499999944;2;PET;219;350;219;219;350;350;219;350;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,31206689754074;0,00000000000000;;"";"";"";"";""
;00049;1;122,102499999944;2;PET;334;314;334;334;314;314;334;314;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,39367577852840;0,00000000000000;;"";"";"";"";""
