Data ID:;D:\Image_Lab_Daten\mrolf2\0-5_ML\ML1.1_0-5_1-8_4v5\ML 1.1 0-5 1-8 4v5.ilab
Date of Export:;2021-05-07 11:38:24
Classes:;24
Particles on File:;62037

Particle Classes:
;Class;Class Name;Class ID;No. of Particles
;1;PU;PU;13
;2;PET;PET;1
;3;PA;PA;0
;4;PC;PC;3
;5;PMMA;PMMA;18
;6;PVC;PVC;5
;7;PE;PE;152
;8;PP;PP;139
;9;POM;POM;47
;10;ABS;ABS;0
;11;PAN;PAN;0
;12;PS;PS;23
;13;PBT;PBT;0
;14;PPSU;PPSU;0
;15;CA;CA;0
;16;EVAc;EVAc;31
;17;PEEK;PEEK;0
;18;EVOH;EVOH;0
;19;PSU;PSU;0
;20;SILICONE;SI;8
;21;Substrat;Substrate;55048
;22;Non-Polymer;Non-Polymer;6549
;23;PLA;PLA;0
;24;PLA-PBAT;PLAPBAT;0

Export Filter Parameters:
;Minimum Size:;1
;Minimum Relevance:;0,00000000000000
;Minimum Aux. Parameter:;0,00000000000000
;Selected Classes:;[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,23,24]
;No. Exported Particles:;440

Particle Properties:
;Particle;Size [px];Area [µm²];Class Idx;Class Name;XPos [px];YPos [px];Left Edge [px];Right Edge [px];Bottom Edge [px];Top Edge [px];CenterX [px];CenterY [px];PC1LdX;PC1LdY;Length [px];Width [px];Aspect;Direction [°];Relevance;Similarity;Done;Polymer?;Shape;Length;Width
;00056;1;122,102499999944;7;PE;155;472;155;155;472;472;155;472;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,46142805333333;0,00000000000000;;"";"";"0";"0"
;00057;1;122,102499999944;7;PE;169;661;169;169;661;661;169;661;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,66645333333333;0,00000000000000;;"";"";"0";"0"
;00058;1;122,102499999944;7;PE;172;408;172;172;408;408;172;408;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,46613333333333;0,00000000000000;;"";"";"0";"0"
;00059;1;122,102499999944;7;PE;189;471;189;189;471;471;189;471;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,43690666666667;0,00000000000000;;"";"";"0";"0"
;00060;1;122,102499999944;7;PE;190;390;190;190;390;390;190;390;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,45414147160494;0,00000000000000;;"";"";"0";"0"
;00061;1;122,102499999944;7;PE;193;311;193;193;311;311;193;311;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,45280294937284;0,00000000000000;;"";"";"0";"0"
;00062;706;86204,3649999603;7;PE;206;872;206;252;856;899;227;879;0,76486451852658;0,64419117372027;49,7135825046083;24,5901267295177;2,02168874733503;40,1050595102543;1,00000000000000;0,00000000000000;OK;"";"fragment";"556";"382"
;00063;9;1098,92249999949;7;PE;206;885;206;211;883;886;208;884;0,87506887473614;-0,48399841370405;6,34334120108875;2,35906728844020;2,68891914705957;151,053127977559;0,69781276444444;0,00000000000000;;"";"";"0";"0"
;00064;1;122,102499999944;7;PE;206;887;206;206;887;887;206;887;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,58026666666667;0,00000000000000;;"";"";"0";"0"
;00065;10;1221,02499999944;7;PE;213;680;213;216;677;680;215;678;-0,68015073761570;0,73307228437639;5,23966906597633;3,14629530636842;1,66534560674286;132,855423335591;0,59016406913580;0,00000000000000;OK;"";"fragment";"293";"173"
;00066;31;3785,17749999826;7;PE;213;682;213;223;681;685;218;683;0,96443151362341;0,26433284988826;11,1729808360107;5,38639175427011;2,07429785016161;15,3273144071125;0,54655713280000;0,00000000000000;;"";"";"0";"0"
;00067;1;122,102499999944;7;PE;215;687;215;215;687;687;215;687;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,56118448987654;0,00000000000000;;"";"";"0";"0"
;00068;3;366,307499999831;7;PE;217;855;217;219;855;855;218;855;1,00000000000000;0,00000000000000;3,00000000000000;1,00000000000000;3,00000000000000;0,00000000000000;0,55630810074074;0,00000000000000;;"";"";"0";"0"
;00069;3;366,307499999831;7;PE;219;680;219;221;680;680;220;680;1,00000000000000;0,00000000000000;3,00000000000000;1,00000000000000;3,00000000000000;0,00000000000000;0,19931890702947;0,00000000000000;;"";"";"0";"0"
;00070;10;1221,02499999944;7;PE;219;686;219;225;686;688;222;688;0,99959041879100;2,86180827664042E-02;7,02616059551244;2,97056275481566;2,36526246891170;1,63991925975616;0,48204647318650;0,00000000000000;;"";"";"0";"0"
