"","Tier","Environment","Metric","Mean","Median","Std_Dev","Min","Max","Percentile_5th","Percentile_95th","N_sim"
"88","Tier3","Marine","tissue_translocation_um2.L",39000,34100,22700,5290,161000,11600,85600,9580
"89","Tier4","Freshwater","Food Dilution (5th %)",88.5,48.3,106,0.0465,693,4.43,314,9580
"90","Tier4","Freshwater","Food Dilution (95th %)",9290,5570,10300,1.72,71400,795,31500,9580
"91","Tier4","Freshwater","Food Dilution (Default)",212,121,243,0.102,1350,13.6,765,9580
"92","Tier4","Freshwater","N Datapoints (food dilution)",107,107,0,107,107,107,107,9580
"93","Tier4","Freshwater","N Datapoints (tissue trans)",97.1,100,8.86,29,110,78,108,9580
"94","Tier4","Freshwater","N Groups (food dilution)",2,2,0,2,2,2,2,9580
"95","Tier4","Freshwater","N Groups (tissue trans)",2.02,2,0.329,1,3,2,3,9580
"96","Tier4","Freshwater","N Species (food dilution)",7,7,0,7,7,7,7,9580
"97","Tier4","Freshwater","N Species (tissue trans)",6.42,6,0.683,2,8,6,8,9580
"98","Tier4","Freshwater","Tissue Translocation (5th %)",3490,3330,1430,86.6,9060,1340,6120,9140
"99","Tier4","Freshwater","Tissue Translocation (95th %)",133000,111000,139000,5740,2280000,43900,245000,9140
"100","Tier4","Freshwater","Tissue Translocation (Default)",9270,9470,2900,303,18700,4080,13900,9140
"101","Tier4","Freshwater","food_dilution_ug.L",7890,4230,9850,1.98,117000,461,28500,9580
"102","Tier4","Freshwater","food_dilution_um3.L",5030,3750,4150,4.05,23700,750,14000,9580
"103","Tier4","Freshwater","tissue_translocation_ug.L",345000,321000,166000,11300,1750000,124000,648000,9140
"104","Tier4","Freshwater","tissue_translocation_um2.L",79700,81700,23500,2910,154000,36200,115000,9140
"105","Tier4","Marine","Food Dilution (5th %)",0.425,0.209,0.578,0.00103,4,0.023,1.63,9580
"106","Tier4","Marine","Food Dilution (95th %)",64.1,39.1,70.4,1.22,498,7.42,210,9580
"107","Tier4","Marine","Food Dilution (Default)",2.58,1.34,3.34,0.00751,22.3,0.15,9.53,9580
"108","Tier4","Marine","N Datapoints (food dilution)",40,40,0,40,40,40,40,9580
"109","Tier4","Marine","N Datapoints (tissue trans)",34.6,34,2.08,5,41,34,41,9580
"110","Tier4","Marine","N Groups (food dilution)",7,7,0,7,7,7,7,9580
"111","Tier4","Marine","N Groups (tissue trans)",7.09,7,0.294,2,8,7,8,9580
"112","Tier4","Marine","N Species (food dilution)",13,13,0,13,13,13,13,9580
"113","Tier4","Marine","N Species (tissue trans)",13.1,13,0.349,2,14,13,14,9580
"114","Tier4","Marine","Tissue Translocation (5th %)",444,411,229,42.4,1410,108,883,9580
"115","Tier4","Marine","Tissue Translocation (95th %)",16700,14100,10900,1640,138000,7590,31600,9580
"116","Tier4","Marine","Tissue Translocation (Default)",1780,1550,1010,265,7440,605,3820,9580
"117","Tier4","Marine","food_dilution_ug.L",426,222,551,1.17,3920,24.8,1560,9580
"118","Tier4","Marine","food_dilution_um3.L",157,106,153,1.9,935,19.2,476,9580
"119","Tier4","Marine","tissue_translocation_ug.L",292000,255000,166000,42800,1270000,98900,628000,9580
"120","Tier4","Marine","tissue_translocation_um2.L",125000,109000,70900,21200,548000,42900,270000,9580
