Data ID:;D:\mrolf2\Blanks\FB_PW3_ML1_1v2\FB_PW3_ML1_1v2\FB PW 3 ML1-1_1v2.ilab
Date of Export:;2020-07-15 17:41:18
Classes:;24
Particles:;59476

Particle Classes:
;Class;Class Name;Class ID;No. of Particles
;1;PU;PU;14
;2;PET;PET;10
;3;PA;PA;2
;4;PC;PC;1
;5;PMMA;PMMA;9
;6;PVC;PVC;34
;7;PE;PE;4
;8;PP;PP;6
;9;POM;POM;2
;10;ABS;ABS;0
;11;PAN;PAN;0
;12;PS;PS;5
;13;PBT;PBT;4
;14;PPSU;PPSU;11
;15;CA;CA;0
;16;EVAc;EVAc;2
;17;PEEK;PEEK;0
;18;EVOH;EVOH;1
;19;PSU;PSU;3
;20;SILICONE;SI;6
;21;Substrat;Substrate;52004
;22;Non-Polymer;Non-Polymer;7358
;23;PLA;PLA;0
;24;PLA-PBAT;PLAPBAT;0

Filter Parameters:
;Minimum Size:;1
;Minimum Relevance:;0,00000000000000
;Minimum Aux. Parameter:;0,00000000000000
;Selected Classes:;[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,23,24]

Particle Properties:
;Particle;Size;Class Idx;Class Name;XPos;YPos;Left Edge;Right Edge;Bottom Edge;Top Edge;CenterX;CenterY;PC1LdX;PC1LdY;Length;Width;Aspect;Direction;Relevance;Similarity;Done;polymere?;Form;Farbe;L‰nge;Breite;Kommentar
;00032;1;5;PMMA;523;113;523;523;113;113;524,000000000000;114,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,35347539437037;0,14319554560292;;"";"";"";"";"";""
;00033;1;5;PMMA;524;112;524;524;112;112;525,000000000000;113,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,27655901234568;0,21383015348821;;"";"";"";"";"";""
;00034;1;5;PMMA;527;112;527;527;112;112;528,000000000000;113,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,60747693304626;0,19839562917955;;"";"";"";"";"";""
;00035;2;5;PMMA;638;632;638;638;632;633;639,000000000000;634,000000000000;0,00000000000000;1,00000000000000;2,00000000000000;1,00000000000000;2,00000000000000;90,0000000000000;0,44818413711276;0,22662865968552;;"";"";"";"";"";""
;00036;1;5;PMMA;794;881;794;794;881;881;795,000000000000;882,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,33884501338877;0,16128796585859;;"";"";"";"";"";""
;00037;1;6;PVC;131;479;131;131;479;479;132,000000000000;480,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,44676228024362;0,49305283204164;;"";"";"";"";"";""
;00038;2;6;PVC;140;258;140;141;258;258;142,000000000000;259,000000000000;1,00000000000000;0,00000000000000;2,00000000000000;1,00000000000000;2,00000000000000;0,00000000000000;0,51941173728395;0,41989919412811;;"";"";"";"";"";""
;00039;1;6;PVC;200;480;200;200;480;480;201,000000000000;481,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,32494933333333;7,18635058579706E-02;;"";"";"";"";"";""
;00040;1;6;PVC;201;479;201;201;479;479;202,000000000000;480,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,50688000000000;0,21385801501561;;"";"";"";"";"";""
;00041;1;6;PVC;223;820;223;223;820;820;224,000000000000;821,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,41747552331852;0,20701326543194;;"";"";"";"";"";""
