Data ID:;D:\Image_Lab_Daten\mrolf2\0-5_ML\ML3.3_0-5_no.1-2\ML3_3_0-5_NO1-2.ilab
Date of Export:;2021-04-20 13:23:57
Classes:;24
Particles on File:;8947

Particle Classes:
;Class;Class Name;Class ID;No. of Particles
;1;PU;PU;27
;2;PET;PET;2
;3;PA;PA;0
;4;PC;PC;3
;5;PMMA;PMMA;7
;6;PVC;PVC;10
;7;PE;PE;55
;8;PP;PP;7
;9;POM;POM;0
;10;ABS;ABS;0
;11;PAN;PAN;0
;12;PS;PS;7
;13;PBT;PBT;0
;14;PPSU;PPSU;0
;15;CA;CA;0
;16;EVAc;EVAc;1
;17;PEEK;PEEK;0
;18;EVOH;EVOH;1
;19;PSU;PSU;0
;20;SILICONE;SI;1
;21;Substrat;Substrate;46
;22;Non-Polymer;Non-Polymer;8780
;23;PLA;PLA;0
;24;PLA-PBAT;PLAPBAT;0

Export Filter Parameters:
;Minimum Size:;1
;Minimum Relevance:;0,00000000000000
;Minimum Aux. Parameter:;0,00000000000000
;Selected Classes:;[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,23,24]
;No. Exported Particles:;121

Particle Properties:
;Particle;Size [px];Area [µm²];Class Idx;Class Name;XPos [px];YPos [px];Left Edge [px];Right Edge [px];Bottom Edge [px];Top Edge [px];CenterX [px];CenterY [px];PC1LdX;PC1LdY;Length [px];Width [px];Aspect;Direction [°];Relevance;Similarity;Done;Polymer;Shape;Length;Width;Comment
;00051;1;122,102499999944;7;PE;124;303;124;124;303;303;124;303;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,48327887834074;0,00000000000000;;"";"";"";"";""
;00052;10;1221,02499999944;7;PE;125;304;125;128;301;304;127;302;-0,68015073761570;0,73307228437639;5,23966906597627;3,14629530636847;1,66534560674281;132,855423335590;0,47991466666667;0,00000000000000;;"";"";"";"";""
;00053;2;244,204999999887;7;PE;125;378;125;125;378;379;125;378;0,00000000000000;1,00000000000000;2,00000000000000;1,00000000000000;2,00000000000000;90,0000000000000;0,55122362469136;0,00000000000000;;"";"";"";"";""
;00054;1;122,102499999944;7;PE;128;308;128;128;308;308;128;308;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,41121515467747;0,00000000000000;;"";"";"";"";""
;00055;1;122,102499999944;7;PE;136;263;136;136;263;263;136;263;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,46167229629630;0,00000000000000;;"";"";"";"";""
;00056;1;122,102499999944;7;PE;136;306;136;136;306;306;136;306;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,50422992592593;0,00000000000000;;"";"";"";"";""
;00057;1;122,102499999944;7;PE;137;304;137;137;304;304;137;304;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,27968000000000;0,00000000000000;;"";"";"";"";""
;00058;4;488,409999999775;7;PE;138;302;138;139;302;303;138;302;1,00000000000000;0,00000000000000;2,00000000000000;2,00000000000000;1,00000000000000;0,00000000000000;0,51924568493827;0,00000000000000;;"";"";"";"";""
;00059;1;122,102499999944;7;PE;140;298;140;140;298;298;140;298;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,42431051851852;0,00000000000000;;"";"";"";"";""
;00060;7;854,717499999606;7;PE;140;300;140;142;300;303;141;301;0,55049100874621;0,83484109223827;4,05501428546108;2,93582310973068;1,38121887249299;56,5992952568241;0,41946225777778;0,00000000000000;;"";"";"";"";""
;00061;1;122,102499999944;7;PE;140;305;140;140;305;305;140;305;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,62725233777778;0,00000000000000;;"";"";"";"";""
;00062;158;19292,1949999911;7;PE;141;297;141;176;276;298;158;289;0,82621701824883;-0,56335196702950;40,9217699280799;9,71314455666186;4,21303005317812;145,712072948194;0,53817799111111;0,00000000000000;OK;"";"fragment";"975";"182";""
;00063;1;122,102499999944;7;PE;141;299;141;141;299;299;141;299;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,47872000000000;0,00000000000000;;"";"";"";"";""
;00064;1;122,102499999944;7;PE;148;305;148;148;305;305;148;305;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,50947871604938;0,00000000000000;;"";"";"";"";""
;00065;4;488,409999999775;7;PE;177;226;177;178;226;228;178;227;0,52573111211913;0,85065080835204;3,22703272882325;1,85065080835204;1,74372859226579;58,2825255885390;0,44977777777778;0,00000000000000;OK;"";"fragment";"55";"43";""
;00066;2;244,204999999887;7;PE;209;277;209;210;277;277;210;277;1,00000000000000;0,00000000000000;2,00000000000000;1,00000000000000;2,00000000000000;0,00000000000000;0,50990933333333;0,00000000000000;;"";"";"";"";""
;00067;1;122,102499999944;7;PE;221;307;221;221;307;307;221;307;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,55552000000000;0,00000000000000;;"";"";"";"";""
;00068;7;854,717499999606;7;PE;222;763;222;225;762;763;224;763;0,98940039549748;-0,14521314468540;4,11341433117785;2,27982668486823;1,80426624465780;171,650377883003;0,85668977777778;0,00000000000000;OK;"";"fragment";"173";"74";""
;00069;13;1587,33249999927;7;PE;226;766;226;229;763;768;227;766;-0,40683858493114;0,91350006338874;6,78801607173705;3,23383871170859;2,09905832568583;114,006393752092;0,84480000000000;0,00000000000000;;"";"";"";"";""
;00070;1;122,102499999944;7;PE;243;578;243;243;578;578;243;578;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,48991288888889;0,00000000000000;;"";"";"";"";""
;00071;1;122,102499999944;7;PE;245;823;245;245;823;823;245;823;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,68266666666667;0,00000000000000;;"";"";"";"";""
;00072;1;122,102499999944;7;PE;246;826;246;246;826;826;246;826;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,40694518518519;0,00000000000000;;"";"";"";"";""
;00073;1;122,102499999944;7;PE;248;823;248;248;823;823;248;823;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,55466666666667;0,00000000000000;;"";"";"";"";""
;00074;1;122,102499999944;7;PE;318;772;318;318;772;772;318;772;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,57171437037037;0,00000000000000;;"";"";"";"";""
;00075;1;122,102499999944;7;PE;360;144;360;360;144;144;360;144;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,41845191111111;0,00000000000000;;"";"";"";"";""
;00076;1;122,102499999944;7;PE;361;776;361;361;776;776;361;776;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,41198933333333;0,00000000000000;;"";"";"";"";""
;00077;1;122,102499999944;7;PE;394;63;394;394;63;63;394;63;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,60244501997037;0,00000000000000;;"";"";"";"";""
;00078;1;122,102499999944;7;PE;395;64;395;395;64;64;395;64;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,30821186370370;0,00000000000000;;"";"";"";"";""
;00079;1;122,102499999944;7;PE;417;258;417;417;258;258;417;258;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,57006705777778;0,00000000000000;;"";"";"";"";""
;00080;1;122,102499999944;7;PE;436;547;436;436;547;547;436;547;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,52764444444444;0,00000000000000;;"";"";"";"";""
;00081;2;244,204999999887;7;PE;438;255;438;438;255;256;438;256;0,00000000000000;1,00000000000000;2,00000000000000;1,00000000000000;2,00000000000000;90,0000000000000;0,19364304213333;0,00000000000000;;"";"";"";"";""
;00082;1;122,102499999944;7;PE;463;597;463;463;597;597;463;597;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,40374954666667;0,00000000000000;;"";"";"";"";""
;00083;1;122,102499999944;7;PE;529;600;529;529;600;600;529;600;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,61241742222222;0,00000000000000;;"";"";"";"";""
;00084;1;122,102499999944;7;PE;536;909;536;536;909;909;536;909;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,42666666666667;0,00000000000000;;"";"";"";"";""
;00085;1;122,102499999944;7;PE;539;909;539;539;909;909;539;909;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,45120000000000;0,00000000000000;;"";"";"";"";""
;00086;1;122,102499999944;7;PE;542;503;542;542;503;503;542;503;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,45535762962963;0,00000000000000;;"";"";"";"";""
;00087;3;366,307499999831;7;PE;637;383;637;638;383;384;638;383;0,70710678118655;0,70710678118655;2,41421356237311;1,70710678118655;1,41421356237310;45,0000000000000;0,79057521777778;0,00000000000000;OK;"";"fragment";"52";"44";""
;00088;1;122,102499999944;7;PE;639;382;639;639;382;382;639;382;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,24838811496296;0,00000000000000;;"";"";"";"";""
;00089;1;122,102499999944;7;PE;645;110;645;645;110;110;645;110;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,43116088888889;0,00000000000000;;"";"";"";"";""
