Data ID:;D:\Image_Lab_Daten\mrolf2\0-5_ML\ML2.3_0-5_NO1_1\ML 2_3_ 0-5_No_1_1.ilab
Date of Export:;2021-04-20 11:50:16
Classes:;24
Particles on File:;1190

Particle Classes:
;Class;Class Name;Class ID;No. of Particles
;1;PU;PU;11
;2;PET;PET;0
;3;PA;PA;0
;4;PC;PC;1
;5;PMMA;PMMA;1
;6;PVC;PVC;8
;7;PE;PE;14
;8;PP;PP;5
;9;POM;POM;0
;10;ABS;ABS;0
;11;PAN;PAN;0
;12;PS;PS;3
;13;PBT;PBT;1
;14;PPSU;PPSU;0
;15;CA;CA;0
;16;EVAc;EVAc;0
;17;PEEK;PEEK;1
;18;EVOH;EVOH;0
;19;PSU;PSU;0
;20;SILICONE;SI;0
;21;Substrat;Substrate;0
;22;Non-Polymer;Non-Polymer;1145
;23;PLA;PLA;0
;24;PLA-PBAT;PLAPBAT;0

Export Filter Parameters:
;Minimum Size:;1
;Minimum Relevance:;0,00000000000000
;Minimum Aux. Parameter:;0,00000000000000
;Selected Classes:;[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,23,24]
;No. Exported Particles:;45

Particle Properties:
;Particle;Size [px];Area [µm²];Class Idx;Class Name;XPos [px];YPos [px];Left Edge [px];Right Edge [px];Bottom Edge [px];Top Edge [px];CenterX [px];CenterY [px];PC1LdX;PC1LdY;Length [px];Width [px];Aspect;Direction [°];Relevance;Similarity;Done;Polymer;Shape;Length;Width;Comment
;00033;1;122,102499999944;7;PE;720;380;720;720;380;380;720;380;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,36625066666667;0,00000000000000;;"";"";"";"";""
;00034;1;122,102499999944;7;PE;748;716;748;748;716;716;748;716;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,39992888888889;0,00000000000000;;"";"";"";"";""
;00035;1;122,102499999944;7;PE;811;225;811;811;225;225;811;225;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,44373333333333;0,00000000000000;;"";"";"";"";""
;00036;3;366,307499999831;8;PP;194;205;194;195;205;206;194;206;0,70710678118655;0,70710678118655;2,41421356237311;1,70710678118653;1,41421356237312;45,0000000000000;0,41813333333333;0,00000000000000;OK;"";"fragment";"81";"36";""
;00037;1;122,102499999944;8;PP;195;204;195;195;204;204;195;204;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,46306648289196;0,00000000000000;;"";"";"";"";""
;00038;1;122,102499999944;8;PP;272;741;272;272;741;741;272;741;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,42659081481481;0,00000000000000;;"";"";"";"";""
;00039;3;366,307499999831;8;PP;273;742;273;274;742;743;273;742;0,70710678118655;-0,70710678118655;2,41421356237311;1,70710678118655;1,41421356237310;135,000000000000;0,33617777777778;0,00000000000000;;"";"";"";"";""
;00040;1;122,102499999944;8;PP;472;321;472;472;321;321;472;321;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,37356243323259;0,00000000000000;;"";"";"";"";""
;00041;1;122,102499999944;12;PS;49;508;49;49;508;508;49;508;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,68782222222222;0,00000000000000;;"";"";"";"";""
;00042;15;1831,53749999916;12;PS;51;507;51;54;502;508;53;504;-0,18327894114663;0,98306094914414;7,26492357715807;3,76590390628579;1,92913142712748;100,560807430774;0,93404444444445;0,00000000000000;OK;"";"fragment";"263";"166";""
;00043;22;2686,25499999876;12;PS;345;784;345;349;782;787;347;784;-0,51804719411281;0,85535203552213;6,31285456583618;4,93945533620126;1,27804669465665;121,201352065678;0,89457777777778;0,00000000000000;OK;"";"bead";"90";"90";""
;00044;1;122,102499999944;13;PBT;373;109;373;373;109;109;373;109;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,44479840930239;0,00000000000000;;"";"";"";"";""
;00045;1;122,102499999944;17;PEEK;782;589;782;782;589;589;782;589;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,24974701426578;0,00000000000000;;"";"";"";"";""
