Data ID:;D:\Image_Lab_Daten\mrolf2\0-5_ML\ML1.1_0-5_1-8_2v5\ML1.1_0-5_1-8_2v5.ilab
Date of Export:;2021-05-07 11:52:05
Classes:;24
Particles on File:;5398

Particle Classes:
;Class;Class Name;Class ID;No. of Particles
;1;PU;PU;16
;2;PET;PET;4
;3;PA;PA;2
;4;PC;PC;0
;5;PMMA;PMMA;52
;6;PVC;PVC;30
;7;PE;PE;264
;8;PP;PP;150
;9;POM;POM;3
;10;ABS;ABS;6
;11;PAN;PAN;0
;12;PS;PS;166
;13;PBT;PBT;1
;14;PPSU;PPSU;0
;15;CA;CA;0
;16;EVAc;EVAc;100
;17;PEEK;PEEK;0
;18;EVOH;EVOH;2
;19;PSU;PSU;0
;20;SILICONE;SI;0
;21;Substrat;Substrate;0
;22;Non-Polymer;Non-Polymer;4599
;23;PLA;PLA;2
;24;PLA-PBAT;PLAPBAT;1

Export Filter Parameters:
;Minimum Size:;1
;Minimum Relevance:;0,00000000000000
;Minimum Aux. Parameter:;0,00000000000000
;Selected Classes:;[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,23,24]
;No. Exported Particles:;799

Particle Properties:
;Particle;Size [px];Area [µm≤];Class Idx;Class Name;XPos [px];YPos [px];Left Edge [px];Right Edge [px];Bottom Edge [px];Top Edge [px];CenterX [px];CenterY [px];PC1LdX;PC1LdY;Length [px];Width [px];Aspect;Direction [∞];Relevance;Similarity;Done;polymere?;Form;Farbe;L‰nge;Breite;Kommentar
;00033;1;122,102499999984;5;PMMA;238;467;238;238;467;467;238;467;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,41854701190719;0,36477407240859;;"";"";"";"";"";""
;00034;1;122,102499999984;5;PMMA;293;308;293;293;308;308;293;308;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,30628847269092;0,60672144404083;;"";"";"";"";"";""
;00035;1;122,102499999984;5;PMMA;295;304;295;295;304;304;295;304;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,23375930338963;0,75605690743453;;"";"";"";"";"";""
;00036;1;122,102499999984;5;PMMA;295;312;295;295;312;312;295;312;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,37928252211200;0,39630642782080;;"";"";"";"";"";""
;00037;1;122,102499999984;5;PMMA;297;311;297;297;311;311;297;311;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,32733262862259;0,60809739795199;;"";"";"";"";"";""
;00038;1;122,102499999984;5;PMMA;309;125;309;309;125;125;309;125;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,32297379586823;0,32705350741049;;"";"";"";"";"";""
;00039;1;122,102499999984;5;PMMA;361;542;361;361;542;542;361;542;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,37636096000000;0,18094493464218;;"";"";"";"";"";""
;00040;19;2319,94749999969;5;PMMA;429;464;429;433;462;466;431;464;0,89372292197735;-0,44861936954646;5,92074979654879;5,47213042700241;1,08198257982534;153,344861416238;0,65955682986667;0,63175661183421;OK;"ja";"Kugel";"transparent";"104";"104";""
;00041;2;244,204999999968;5;PMMA;442;270;442;443;270;270;442;270;1,00000000000000;0,00000000000000;2,00000000000000;1,00000000000000;2,00000000000000;0,00000000000000;0,57739132152536;0,54167277441544;;"";"";"";"";"";""
;00042;1;122,102499999984;5;PMMA;442;272;442;442;272;272;442;272;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,37212257256081;0,53117338117100;;"";"";"";"";"";""
;00043;8;976,819999999871;5;PMMA;445;271;445;448;270;272;447;271;0,95876055829927;-0,28421504507974;4,44471176505726;3,20173616167824;1,38821924749961;163,488066222102;0,17979609441975;0,60080089251176;;"";"";"";"";"";""
;00044;2;244,204999999968;5;PMMA;445;274;445;445;274;275;445;274;0,00000000000000;1,00000000000000;2,00000000000000;1,00000000000000;2,00000000000000;90,0000000000000;0,14058957482667;0,62152711395906;;"";"";"";"";"";""
;00045;1;122,102499999984;5;PMMA;446;269;446;446;269;269;446;269;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,39076872677452;0,65039809051777;;"";"";"";"";"";""
;00046;1;122,102499999984;5;PMMA;449;271;449;449;271;271;449;271;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,21946211441778;0,31985399517018;;"";"";"";"";"";""
;00047;1;122,102499999984;5;PMMA;507;629;507;507;629;629;507;629;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,36899397736552;0,28951219572989;;"";"";"";"";"";""
;00048;1;122,102499999984;5;PMMA;509;630;509;509;630;630;509;630;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,57957226824691;0,32080821122520;;"";"";"";"";"";""
;00049;1;122,102499999984;5;PMMA;518;105;518;518;105;105;518;105;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,29999453181921;0,37982624090476;;"";"";"";"";"";""
;00050;1;122,102499999984;5;PMMA;519;106;519;519;106;106;519;106;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,42349829774377;0,52366407492938;;"";"";"";"";"";""
;00051;1;122,102499999984;5;PMMA;537;203;537;537;203;203;537;203;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,78642390913580;0,47222565058366;;"";"";"";"";"";""
;00052;1;122,102499999984;5;PMMA;537;211;537;537;211;211;537;211;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,42770470575094;0,51998437704768;;"";"";"";"";"";""
;00053;2;244,204999999968;5;PMMA;539;204;539;540;204;204;540;204;1,00000000000000;0,00000000000000;2,00000000000000;1,00000000000000;2,00000000000000;0,00000000000000;0,32029113808338;0,52921663390324;;"";"";"";"";"";""
;00054;5;610,512499999919;5;PMMA;540;202;540;542;200;202;541;201;0,70710678118655;-0,70710678118655;3,82842712474618;1,70710678118667;2,24264068711912;135,000000000000;0,40200920514897;0,55961129920651;;"";"";"";"";"";""
;00055;1;122,102499999984;5;PMMA;542;211;542;542;211;211;542;211;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,60907162653498;0,50237321964379;;"";"";"";"";"";""
;00056;1;122,102499999984;5;PMMA;544;205;544;544;205;205;544;205;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,35513645458318;0,59947509318682;;"";"";"";"";"";""
;00057;1;122,102499999984;5;PMMA;545;207;545;545;207;207;545;207;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,67031408687197;0,48329970376196;;"";"";"";"";"";""
