;ATR-Messbar(0,1);Form(Faser, Fragment, Kugel);Farbe;Analyse;Sicherheit (0,x,1);Kommentar;Bearbeiter/in;Datum;Länge;Breite
gr500um_ML3_(0-5)_087;1;Faser;weiß;x;x;;Hannah;17.07.2020;;
gr500um_ML3_(0-5)_088;1;Faser;weiß;x;x;;Hannah;17.07.2020;;
gr500um_ML3_(0-5)_089;1;Faser;weiß;x;x;;Hannah;17.07.2020;;
gr500um_ML3_(0-5)_090;1;Fragment;beige;x;x;;Hannah;17.07.2020;;
gr500um_ML3_(0-5)_091;1;Fragment;weiß;PE;1;;Hannah;17.07.2020;689;493
gr500um_ML3_(0-5)_092;1;Fragment;blau;PE;1;;Hannah;17.07.2020;1536;212
gr500um_ML3_(0-5)_093;1;Fragment;weiß;PP;1;;Hannah;17.07.2020;855;288
gr500um_ML3_(0-5)_094;1;Fragment;weiß;PE;1;;Hannah;17.07.2020;311;306
gr500um_ML3_(0-5)_095;1;Kugel;weiß;PS;1;;Hannah;17.07.2020;230;235
gr500um_ML3_(0-5)_096;1;Fragment;braun;PE;1;;Hannah;17.07.2020;869;721
gr500um_ML3_(0-5)_097;1;Faser;weiß;x;x;;Hannah;17.07.2020;;
gr500um_ML3_(0-5)_098;1;Fragment;weiß;PE;1;;Hannah;17.07.2020;533;234
gr500um_ML3_(0-5)_099;1;Faser;weiß;PET;1;;Hannah;17.07.2020;1370;74
gr500um_ML3_(0-5)_100;1;Fragment;weiß;PP;1;2x gem;Hannah;17.07.2020;287;254
gr500um_ML3_(0-5)_101;1;Faser;weiß;x;x;;Hannah;17.07.2020;;
gr500um_ML3_(0-5)_102;1;Faser;weiß;PET;1;;Hannah;17.07.2020;1557;36
gr500um_ML3_(0-5)_103;1;Faser;schwarz;x;x;2x gem;Hannah;17.07.2020;;
gr500um_ML3_(0-5)_104;1;Faser;weiß;x;x;;Hannah;17.07.2020;;
gr500um_ML3_(0-5)_105;1;Faser;weiß;x;x;;Hannah;17.07.2020;;
gr500um_ML3_(0-5)_106;1;Faser;weiß;x;x;;Hannah;17.07.2020;;
