Data ID:;D:\Image_Lab_Daten\mrolf2\0-5_ML\ML1.3_0-5_1-256_2v5\ML1.3_0-5_1-256_2v5.ilab
Date of Export:;2021-04-20 11:36:18
Classes:;24
Particles on File:;13818

Particle Classes:
;Class;Class Name;Class ID;No. of Particles
;1;PU;PU;26
;2;PET;PET;3
;3;PA;PA;4
;4;PC;PC;1
;5;PMMA;PMMA;5
;6;PVC;PVC;4
;7;PE;PE;37
;8;PP;PP;6
;9;POM;POM;4
;10;ABS;ABS;0
;11;PAN;PAN;0
;12;PS;PS;1
;13;PBT;PBT;1
;14;PPSU;PPSU;0
;15;CA;CA;0
;16;EVAc;EVAc;0
;17;PEEK;PEEK;0
;18;EVOH;EVOH;0
;19;PSU;PSU;0
;20;SILICONE;SI;0
;21;Substrat;Substrate;1
;22;Non-Polymer;Non-Polymer;13725
;23;PLA;PLA;0
;24;PLA-PBAT;PLAPBAT;0

Export Filter Parameters:
;Minimum Size:;1
;Minimum Relevance:;0,00000000000000
;Minimum Aux. Parameter:;0,00000000000000
;Selected Classes:;[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,23,24]
;No. Exported Particles:;92

Particle Properties:
;Particle;Size [px];Area [µm²];Class Idx;Class Name;XPos [px];YPos [px];Left Edge [px];Right Edge [px];Bottom Edge [px];Top Edge [px];CenterX [px];CenterY [px];PC1LdX;PC1LdY;Length [px];Width [px];Aspect;Direction [°];Relevance;Similarity;Done;Polymer;Shape;Length;Width;Comment
;00033;1;122,102499999944;3;PA;672;174;672;672;174;174;672;174;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,54818133333333;0,00000000000000;;"";"";"";"";""
;00034;1;122,102499999944;4;PC;796;649;796;796;649;649;796;649;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,27372915669220;0,00000000000000;;"";"";"";"";""
;00035;18;2197,84499999899;5;PMMA;120;548;120;125;547;550;123;548;0,98793435037083;-0,15487323641407;6,24941822468229;4,11867628752646;1,51733658787627;171,090555542739;0,48299535086090;0,00000000000000;OK;"";"bead";"93";"93";""
;00036;1;122,102499999944;5;PMMA;338;908;338;338;908;908;338;908;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,41528888888889;0,00000000000000;;"";"";"";"";""
;00037;2;244,204999999887;5;PMMA;366;93;366;366;93;94;366;94;0,00000000000000;1,00000000000000;2,00000000000000;1,00000000000000;2,00000000000000;90,0000000000000;0,39416212123909;0,00000000000000;;"";"";"";"";""
;00038;1;122,102499999944;5;PMMA;585;765;585;585;765;765;585;765;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,49713990483226;0,00000000000000;;"";"";"";"";""
;00039;1;122,102499999944;5;PMMA;728;710;728;728;710;710;728;710;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,41727317333333;0,00000000000000;;"";"";"";"";""
;00040;11;1343,12749999938;6;PVC;492;891;492;495;889;892;494;891;-0,65872463135554;0,75238411735330;5,23332624612658;3,16349286606214;1,65428735505288;131,202678315704;0,79178903703704;0,00000000000000;OK;"";"fragment";"48";"41";""
;00041;1;122,102499999944;6;PVC;570;775;570;570;775;775;570;775;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,38789827950617;0,00000000000000;;"";"";"";"";""
;00042;1;122,102499999944;6;PVC;660;743;660;660;743;743;660;743;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,58010737777778;0,00000000000000;;"";"";"";"";""
;00043;1;122,102499999944;6;PVC;664;743;664;664;743;743;664;743;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,44663979811749;0,00000000000000;;"";"";"";"";""
;00044;1;122,102499999944;7;PE;96;729;96;96;729;729;96;729;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,43804444444444;0,00000000000000;;"";"";"";"";""
;00045;2;244,204999999887;7;PE;99;312;99;99;312;313;99;312;0,00000000000000;1,00000000000000;2,00000000000000;1,00000000000000;2,00000000000000;90,0000000000000;0,60622222222222;0,00000000000000;;"";"";"";"";""
;00046;1;122,102499999944;7;PE;102;664;102;102;664;664;102;664;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,59778844444444;0,00000000000000;;"";"";"";"";""
;00047;1;122,102499999944;7;PE;129;575;129;129;575;575;129;575;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,34981642655475;0,00000000000000;;"";"";"";"";""
;00048;2;244,204999999887;7;PE;168;351;168;169;351;351;168;351;1,00000000000000;0,00000000000000;2,00000000000000;1,00000000000000;2,00000000000000;0,00000000000000;0,53494518518518;0,00000000000000;;"";"";"";"";""
;00049;1;122,102499999944;7;PE;172;305;172;172;305;305;172;305;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,56985600000000;0,00000000000000;;"";"";"";"";""
;00050;2;244,204999999887;7;PE;196;398;196;197;398;398;196;398;1,00000000000000;0,00000000000000;2,00000000000000;1,00000000000000;2,00000000000000;0,00000000000000;0,32785749333333;0,00000000000000;;"";"";"";"";""
;00051;1;122,102499999944;7;PE;237;595;237;237;595;595;237;595;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,35278311980247;0,00000000000000;;"";"";"";"";""
;00052;1;122,102499999944;7;PE;240;249;240;240;249;249;240;249;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,46570666666667;0,00000000000000;;"";"";"";"";""
;00053;1;122,102499999944;7;PE;249;794;249;249;794;794;249;794;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,41394710586996;0,00000000000000;;"";"";"";"";""
;00054;1;122,102499999944;7;PE;390;567;390;390;567;567;390;567;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,47431111111111;0,00000000000000;;"";"";"";"";""
;00055;1;122,102499999944;7;PE;401;34;401;401;34;34;401;34;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,45056000000000;0,00000000000000;;"";"";"";"";""
;00056;34;4151,48499999809;7;PE;401;144;401;408;141;147;404;144;0,79503146041501;-0,60656819645476;8,99149300872415;5,20479897060932;1,72753896154255;142,658227261951;0,74142606222222;0,00000000000000;OK;"";"fragment";"95";"73";""
;00057;1;122,102499999944;7;PE;411;558;411;411;558;558;411;558;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,47285565141649;0,00000000000000;;"";"";"";"";""
;00058;1;122,102499999944;7;PE;412;443;412;412;443;443;412;443;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,53191585185185;0,00000000000000;;"";"";"";"";""
;00059;1;122,102499999944;7;PE;414;143;414;414;143;143;414;143;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,40038400000000;0,00000000000000;;"";"";"";"";""
;00060;1;122,102499999944;7;PE;415;276;415;415;276;276;415;276;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,44209066666667;0,00000000000000;;"";"";"";"";""
;00061;1;122,102499999944;7;PE;426;227;426;426;227;227;426;227;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,41992533333333;0,00000000000000;;"";"";"";"";""
;00062;1;122,102499999944;7;PE;474;868;474;474;868;868;474;868;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,49595259259259;0,00000000000000;;"";"";"";"";""
;00063;2;244,204999999887;7;PE;509;78;509;509;78;79;509;78;0,00000000000000;1,00000000000000;2,00000000000000;1,00000000000000;2,00000000000000;90,0000000000000;0,39115219772511;0,00000000000000;;"";"";"";"";""
;00064;17;2075,74249999904;7;PE;524;708;524;527;707;711;525;709;-0,26171122506788;0,96514622450355;5,38400734815014;4,41886112364637;1,21841515211669;105,171624442120;0,88422874074074;0,00000000000000;OK;"";"fragment";"113";"67";""
;00065;1;122,102499999944;7;PE;527;888;527;527;888;888;527;888;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,51885511111111;0,00000000000000;;"";"";"";"";""
;00066;1;122,102499999944;7;PE;566;855;566;566;855;855;566;855;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,41155723061728;0,00000000000000;;"";"";"";"";""
;00067;1;122,102499999944;7;PE;595;842;595;595;842;842;595;842;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,47964444444444;0,00000000000000;;"";"";"";"";""
;00068;1;122,102499999944;7;PE;621;784;621;621;784;784;621;784;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,39277100246914;0,00000000000000;;"";"";"";"";""
;00069;1;122,102499999944;7;PE;622;790;622;622;790;790;622;790;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,42413511111111;0,00000000000000;;"";"";"";"";""
;00070;1;122,102499999944;7;PE;697;823;697;697;823;823;697;823;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,57943381333333;0,00000000000000;;"";"";"";"";""
;00071;1;122,102499999944;7;PE;719;810;719;719;810;810;719;810;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,50026666666667;0,00000000000000;;"";"";"";"";""
;00072;108;13187,0699999939;7;PE;720;799;720;733;795;812;726;803;-0,10015057418241;0,99497229232323;18,3151312662245;14,2350915227493;1,28661844126220;95,7478412709636;0,88000000000000;0,00000000000000;OK;"";"fragment";"226";"182";""
;00073;1;122,102499999944;7;PE;742;167;742;742;167;167;742;167;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,42208067718848;0,00000000000000;;"";"";"";"";""
;00074;1;122,102499999944;7;PE;768;150;768;768;150;150;768;150;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,56426666666667;0,00000000000000;;"";"";"";"";""
;00075;1;122,102499999944;7;PE;825;522;825;825;522;522;825;522;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,51822222222222;0,00000000000000;;"";"";"";"";""
;00076;1;122,102499999944;7;PE;831;569;831;831;569;569;831;569;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,45738533925926;0,00000000000000;;"";"";"";"";""
;00077;3;366,307499999831;7;PE;890;583;890;891;583;584;890;583;0,70710678118655;-0,70710678118655;2,41421356237311;1,70710678118644;1,41421356237319;135,000000000000;0,29165989062058;0,00000000000000;;"";"";"";"";""
;00078;4;488,409999999775;7;PE;912;435;912;914;435;436;913;435;1,00000000000000;0,00000000000000;3,00000000000000;2,00000000000000;1,50000000000000;0,00000000000000;0,56248693191111;0,00000000000000;;"";"";"";"";""
;00079;1;122,102499999944;7;PE;923;418;923;923;418;418;923;418;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,40930733827160;0,00000000000000;;"";"";"";"";""
;00080;1;122,102499999944;7;PE;930;376;930;930;376;376;930;376;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,41658089876543;0,00000000000000;;"";"";"";"";""
